Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Dak Prescott,DAL,20,30,176,0,0,8,50,30,82.1,6,42,1,,0,0,0,0,,2,2
Alfred Morris,DAL,0,0,0,0,0,0,0,0,,11,53,0,20,0,0,0,0,0,0,0
Rod Smith,DAL,0,0,0,0,0,0,0,0,,3,14,0,8,6,4,15,0,8,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,59,0,21,0,0
Dez Bryant,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,39,0,15,0,0
Brice Butler,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,30,0,30,0,0
Cole Beasley,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,23,0,17,0,0
Terrance Williams,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,9,0,9,0,0
Keith Smith,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,1,0,0
Darren McFadden,DAL,0,0,0,0,0,0,0,0,,1,-2,0,-2,0,0,0,0,0,0,0
Matt Ryan,ATL,22,29,215,2,1,1,11,34,104.8,0,0,0,,0,0,0,0,,0,0
Tevin Coleman,ATL,0,0,0,0,0,0,0,0,,20,83,1,19,1,1,5,0,5,0,0
Terron Ward,ATL,0,0,0,0,0,0,0,0,,9,23,0,17,0,0,0,0,0,0,0
Taylor Gabriel,ATL,0,0,0,0,0,0,0,0,,1,15,0,15,3,3,58,0,34,0,0
Derrick Coleman,ATL,0,0,0,0,0,0,0,0,,2,8,0,5,0,0,0,0,0,0,0
Devonta Freeman,ATL,0,0,0,0,0,0,0,0,,2,3,0,2,0,0,0,0,0,0,0
Julio Jones,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,57,0,24,0,0
Austin Hooper,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,49,1,14,0,0
Mohamed Sanu,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,29,0,14,0,0
Levine Toilolo,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Justin Hardy,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,1,4,0,0
Marvin Hall,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
