Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Blaine Gabbert,ARI,22,34,257,3,2,2,13,28,92.4,3,13,0,,0,0,0,0,,1,0
Adrian Peterson,ARI,0,0,0,0,0,0,0,0,,14,26,0,7,1,1,13,0,13,0,0
Kerwynn Williams,ARI,0,0,0,0,0,0,0,0,,1,9,0,9,2,1,9,0,9,0,0
Larry Fitzgerald,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,10,9,91,1,22,0,0
Ricky Seals-Jones,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,54,2,28,0,0
D.J. Foster,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,20,0,0
Jaron Brown,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,22,0,22,0,0
John Brown,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,18,0,9,0,0
JJ Nelson,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,14,0,14,0,0
Jermaine Gresham,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Brittan Golden,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tom Savage,HOU,22,32,230,2,1,1,7,34,97.1,1,3,0,,0,0,0,0,,1,1
D'Onta Foreman,HOU,0,0,0,0,0,0,0,0,,10,65,2,34,3,3,15,0,8,1,0
Lamar Miller,HOU,0,0,0,0,0,0,0,0,,22,61,0,13,5,4,22,1,8,1,0
Bruce Ellington,HOU,0,0,0,0,0,0,0,0,,1,5,0,5,7,6,63,0,25,1,0
DeAndre Hopkins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,76,1,34,0,0
Stephen Anderson,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,22,0,22,0,0
C.J. Fiedorowicz,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,10,0,0
Braxton Miller,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,14,0,11,0,0
