Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Russell Wilson,SEA,20,34,228,2,1,0,0,26,86.4,7,25,1,,0,0,0,0,,1,0
Eddie Lacy,SEA,0,0,0,0,0,0,0,0,,17,46,0,11,3,3,15,0,6,0,0
J.D. McKissic,SEA,0,0,0,0,0,0,0,0,,4,22,0,14,7,4,24,0,12,0,0
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,1,2,0,2,1,0,0,0,0,0,0
Paul Richardson,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,70,0,26,0,0
Jimmy Graham,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,34,1,25,0,0
Tanner McEvoy,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,31,0,24,0,0
Nick Vannett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,29,1,17,0,0
Doug Baldwin,SEA,0,0,0,0,0,0,0,0,,1,-5,0,-5,3,2,25,0,23,0,0
C.J. Beathard,SFO,22,38,201,0,1,3,23,34,61.4,6,21,0,,0,0,0,0,,1,0
Jimmy Garoppolo,SFO,2,2,18,1,0,0,0,10,143.7,1,4,0,,0,0,0,0,,0,0
Carlos Hyde,SFO,0,0,0,0,0,0,0,0,,16,47,0,14,13,7,21,0,7,0,0
Matt Breida,SFO,0,0,0,0,0,0,0,0,,1,12,0,12,1,1,12,0,12,0,0
Marquise Goodwin,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,78,0,34,0,0
Trent Taylor,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,35,0,29,0,0
Kendrick Bourne,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,0,15,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,14,0,14,0,0
Louis Murphy,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,14,1,10,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,8,0,4,0,0
Aldrick Robinson,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,8,0,8,0,0
Garrett Celek,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,7,0,5,0,0
