Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Philip Rivers,LAC,20,36,227,1,3,2,18,49,49.2,0,0,0,,0,0,0,0,,0,0
Melvin Gordon,LAC,0,0,0,0,0,0,0,0,,19,78,1,15,8,6,91,0,49,0,0
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,2,13,0,13,1,1,6,0,6,1,1
Travis Benjamin,LAC,0,0,0,0,0,0,0,0,,1,7,0,7,4,1,7,0,7,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,54,0,15,0,0
Tyrell Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,31,0,18,0,0
Hunter Henry,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,28,0,14,0,0
Antonio Gates,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,10,1,10,0,0
Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Branden Oliver,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Alex Smith,KAN,23,30,231,2,0,1,8,64,120.3,3,13,0,,0,0,0,0,,0,0
Kareem Hunt,KAN,0,0,0,0,0,0,0,0,,24,155,1,23,9,7,51,1,21,0,0
Charcandrick West,KAN,0,0,0,0,0,0,0,0,,5,6,0,3,1,0,0,0,0,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,88,1,64,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,46,0,21,0,0
Orson Charles,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,18,0,18,0,0
Albert Wilson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,15,0,15,0,0
Demetrius Harris,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
De'Anthony Thomas,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,0,4,0,0
