Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Jordan Poyer,BUF,1,19,1,19,1,0.0,6,2,4,0,0,0,0,0,0
Kyle Williams,BUF,0,0,0,0,0,1.0,4,2,2,1,1,0,0,0,0
Jerry Hughes,BUF,0,0,0,0,0,1.0,1,1,0,0,1,0,0,0,0
Preston Brown,BUF,0,0,0,0,0,0.0,15,10,5,2,0,0,0,0,0
Shareece Wright,BUF,0,0,0,0,0,0.0,9,7,2,0,0,0,0,0,0
Ramon Humber,BUF,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Micah Hyde,BUF,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Matt Milano,BUF,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
Tre'Davious White,BUF,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0
Lorenzo Alexander,BUF,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Leonard Johnson,BUF,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Cedric Thornton,BUF,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Adolphus Washington,BUF,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Nordly Capi,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Deandre Coleman,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ryan Davis,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Deon Lacey,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Lafayette Pitts,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Shamarko Thomas,BUF,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Eddie Yarbrough,BUF,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Eric Wood,BUF,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Marquis Flowers,NWE,0,0,0,0,0,2.5,10,5,5,3,3,0,0,0,0
Deatrich Wise Jr.,NWE,0,0,0,0,0,1.5,2,1,1,1,2,0,0,0,0
Malcom Brown,NWE,0,0,0,0,0,1.0,6,3,3,1,1,0,0,0,0
Malcolm Butler,NWE,0,0,0,0,1,1.0,3,3,0,0,0,0,0,0,1
Trey Flowers,NWE,0,0,0,0,0,0.0,8,7,1,3,1,0,0,0,0
Patrick Chung,NWE,0,0,0,0,2,0.0,6,4,2,0,1,0,0,0,0
Devin McCourty,NWE,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Elandon Roberts,NWE,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Stephon Gilmore,NWE,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Eric Lee,NWE,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Duron Harmon,NWE,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Nicholas Grigsby,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Lawrence Guy,NWE,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,0
Ricky Jean-Francois,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Brandon King,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jordan Richards,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jonathan Jones,NWE,0,0,0,0,0,0.0,0,0,0,1,1,0,0,0,0
