Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Keenan Allen,LAC,1,32,0,32,1,0.0,0,0,0,0,0,0,0,0,0
Korey Toomer,LAC,0,0,0,0,0,1.0,7,5,2,1,1,0,0,0,1
Isaac Rochell,LAC,0,0,0,0,0,1.0,2,2,0,1,1,0,0,0,0
Jahleel Addae,LAC,0,0,0,0,0,0.5,7,5,2,0,1,0,0,0,0
Kyle Emanuel,LAC,0,0,0,0,0,0.5,1,0,1,0,1,0,0,0,0
Hayes Pullard,LAC,0,0,0,0,0,0.0,8,4,4,0,0,1,0,0,0
Desmond King,LAC,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Joey Bosa,LAC,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Tre Boston,LAC,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Jatavis Brown,LAC,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Brandon Mebane,LAC,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Casey Hayward,LAC,0,0,0,0,0,0.0,2,2,0,0,0,1,0,0,1
Melvin Ingram,LAC,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Trevor Williams,LAC,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Mike Windt,LAC,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Michael Davis,LAC,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Nick Dzubnar,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Chris McCain,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Sean McGrath,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Adrian Phillips,LAC,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Darius Philon,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Derek Watt,LAC,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Philip Rivers,LAC,0,0,0,0,0,0.0,0,0,0,0,0,1,-2,0,0
Darron Lee,NYJ,0,0,0,0,0,0.0,8,4,4,0,0,0,0,0,0
Jamal Adams,NYJ,0,0,0,0,1,0.0,7,7,0,0,0,0,0,0,0
Demario Davis,NYJ,0,0,0,0,0,0.0,6,5,1,0,1,0,0,0,0
Jordan Jenkins,NYJ,0,0,0,0,1,0.0,6,4,2,1,0,0,0,0,0
Marcus Maye,NYJ,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Mike Pennel,NYJ,0,0,0,0,0,0.0,5,4,1,0,0,0,0,0,0
Josh Martin,NYJ,0,0,0,0,0,0.0,4,3,1,2,2,0,0,0,0
Steve McLendon,NYJ,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Buster Skrine,NYJ,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Juston Burris,NYJ,0,0,0,0,0,0.0,2,2,0,1,0,0,0,0,0
Morris Claiborne,NYJ,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Xavier Cooper,NYJ,0,0,0,0,1,0.0,2,1,1,0,1,0,0,0,0
David Bass,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Terrence Brooks,NYJ,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Leonard Williams,NYJ,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
