Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Russell Wilson,SEA,14,21,93,2,0,3,33,20,107.8,9,29,0,,0,0,0,0,,1,0
Mike Davis,SEA,0,0,0,0,0,0,0,0,,15,25,0,8,5,4,18,0,12,0,0
Thomas Rawls,SEA,0,0,0,0,0,0,0,0,,5,20,0,15,0,0,0,0,0,0,0
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,1,2,0,2,2,1,7,0,7,0,0
Doug Baldwin,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,35,1,20,0,0
Paul Richardson,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,21,0,11,0,0
Luke Willson,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,9,0,8,0,0
Jimmy Graham,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,1,3,0,0
Dak Prescott,DAL,21,34,181,0,2,4,27,33,51.2,4,21,0,,0,0,0,0,,0,0
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,24,97,0,9,7,4,21,0,9,0,0
Rod Smith,DAL,0,0,0,0,0,0,0,0,,2,10,0,5,3,3,23,0,10,0,0
Dez Bryant,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,43,0,33,1,1
Terrance Williams,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,43,0,17,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,39,0,11,0,0
Cole Beasley,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,6,0,0
Noah Brown,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
