Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Derek Carr,OAK,19,28,243,1,1,2,12,87,91.8,2,1,0,,0,0,0,0,,1,1
Marshawn Lynch,OAK,0,0,0,0,0,0,0,0,,19,101,0,19,3,2,18,0,17,0,0
DeAndre Washington,OAK,0,0,0,0,0,0,0,0,,2,3,0,2,3,2,0,0,1,0,0
Amari Cooper,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,115,1,87,0,0
Seth Roberts,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,48,0,26,0,0
Jared Cook,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,35,0,24,0,0
Michael Crabtree,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,17,0,12,0,0
Jalen Richard,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Cordarrelle Patterson,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Johnny Holton,OAK,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,1,0
Philip Rivers,LAC,28,37,387,3,0,1,7,62,135.8,1,5,0,,0,0,0,0,,1,0
Melvin Gordon,LAC,0,0,0,0,0,0,0,0,,17,93,0,17,7,6,31,0,14,1,0
Branden Oliver,LAC,0,0,0,0,0,0,0,0,,7,13,0,11,1,1,6,0,6,0,0
Travis Benjamin,LAC,0,0,0,0,0,0,0,0,,2,4,0,3,5,4,96,1,62,0,0
Derek Watt,LAC,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,,,0,0,0,,12,9,133,1,,0,0
Tyrell Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,67,1,56,0,0
Antonio Gates,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,46,0,20,0,0
Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Kellen Clemens,LAC,0,0,0,0,0,0,0,0,,2,-2,0,-1,0,0,0,0,0,0,0
