Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Matthew Stafford,DET,15,21,122,2,0,3,3,27,117.6,3,23,0,,0,0,0,0,,1,1
Ameer Abdullah,DET,0,0,0,0,0,0,0,0,,17,86,0,34,0,0,0,0,0,0,0
Theo Riddick,DET,0,0,0,0,0,0,0,0,,9,20,0,11,3,3,17,0,7,0,0
Dwayne Washington,DET,0,0,0,0,0,0,0,0,,3,9,0,5,0,0,0,0,0,0,0
Eric Ebron,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,42,1,17,0,0
Marvin Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,27,1,27,0,0
Golden Tate,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,25,0,10,0,0
Kenny Golladay,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,8,0,8,0,0
Darren Fells,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Eli Manning,NYG,22,32,239,1,1,5,31,38,87.9,0,0,0,,0,0,0,0,,1,0
Shane Vereen,NYG,0,0,0,0,0,0,0,0,,6,28,0,8,3,3,27,0,20,0,0
Orleans Darkwa,NYG,0,0,0,0,0,0,0,0,,3,17,0,11,1,1,3,0,3,0,0
Paul Perkins,NYG,0,0,0,0,0,0,0,0,,7,10,0,4,2,2,12,0,7,0,0
Sterling Shepard,NYG,0,0,0,0,0,0,0,0,,2,7,0,12,4,2,23,0,12,0,0
Evan Engram,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,49,1,18,0,0
Jerell Adams,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,38,0,38,0,0
Odell Beckham Jr.,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,36,0,16,0,0
Rhett Ellison,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,0,12,0,0
Brandon Marshall,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,17,0,17,0,0
Roger Lewis,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,13,0,8,0,0
