Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Carson Wentz,PHI,25,46,333,2,1,6,34,53,83.0,4,55,0,,0,0,0,0,,2,0
Darren Sproles,PHI,0,0,0,0,0,0,0,0,,10,48,0,12,4,2,30,0,16,1,1
Wendell Smallwood,PHI,0,0,0,0,0,0,0,0,,3,4,0,8,2,1,-3,0,-3,0,0
Zach Ertz,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,97,0,53,0,0
Alshon Jeffery,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,92,1,18,0,0
Torrey Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,66,0,24,0,0
Mack Hollins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,32,0,13,0,0
Trey Burton,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Nelson Agholor,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,9,1,9,0,0
LeGarrette Blount,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
Alex Smith,KAN,21,28,251,1,0,4,19,44,113.8,4,21,0,,0,0,0,0,,0,0
Kareem Hunt,KAN,0,0,0,0,0,0,0,0,,13,81,2,53,3,3,28,0,16,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,0,,1,6,0,6,6,4,43,0,18,0,0
Albert Wilson,KAN,0,0,0,0,0,0,0,0,,1,4,0,4,3,2,22,0,12,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,103,1,44,0,0
Chris Conley,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,55,0,35,0,0
Ross Travis,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
