Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Carson Wentz,PHI,16,30,222,3,0,3,13,37,110.7,6,25,0,,0,0,0,0,,1,1
LeGarrette Blount,PHI,0,0,0,0,0,0,0,,,14,67,0,,0,0,0,0,,0,0
Kenjon Barner,PHI,0,0,0,0,0,0,0,0,,5,7,0,6,2,1,9,0,9,1,0
Corey Clement,PHI,0,0,0,0,0,0,0,0,,2,2,0,3,0,0,0,0,0,0,0
Alshon Jeffery,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,71,0,37,0,0
Nelson Agholor,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,55,1,24,0,0
Mack Hollins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,38,0,20,0,0
Zach Ertz,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,18,2,17,0,0
Marcus Johnson,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0
Trey Burton,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Torrey Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Cam Newton,CAR,28,52,239,1,3,2,14,20,48.5,11,71,1,,0,0,0,0,,0,0
Christian McCaffrey,CAR,0,0,0,0,0,0,0,0,,4,8,0,4,14,10,56,1,15,1,0
Curtis Samuel,CAR,0,0,0,0,0,0,0,0,,1,8,0,8,0,0,0,0,0,0,0
Kelvin Benjamin,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,99,0,19,0,0
Ed Dickson,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,36,0,13,0,0
Devin Funchess,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,3,36,0,20,0,0
Russell Shepard,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,12,0,9,0,0
Fozzy Whittaker,CAR,0,0,0,0,0,0,0,0,,1,-3,0,-3,0,0,0,0,0,0,0
Jonathan Stewart,CAR,0,0,0,0,0,0,0,0,,8,-4,0,3,2,0,0,0,0,0,0
