Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Cam Newton,CAR,21,34,211,0,2,5,26,37,54.9,9,50,0,,0,0,0,0,,1,1
Jonathan Stewart,CAR,0,0,0,0,0,0,0,0,,14,48,0,13,0,0,0,0,0,0,0
Christian McCaffrey,CAR,0,0,0,0,0,0,0,0,,7,10,0,4,9,7,36,0,20,0,0
Kelvin Benjamin,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,65,0,37,0,0
Devin Funchess,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,41,0,20,0,0
Curtis Samuel,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0
Russell Shepard,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,20,0,18,0,0
Ed Dickson,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,18,0,11,0,0
Chris Manhertz,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
Mitchell Trubisky,CHI,4,7,107,0,0,4,22,70,101.8,5,3,0,,0,0,0,0,,0,0
Jordan Howard,CHI,0,0,0,0,0,0,0,0,,21,65,0,11,0,0,0,0,0,0,0
Tarik Cohen,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,70,0,70,0,0
Zach Miller,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,29,0,24,0,0
Tanner Gentry,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
