Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Joe Flacco,BAL,34,52,261,2,2,2,9,19,74.3,1,7,0,,0,0,0,0,,1,0
Sam Koch,BAL,1,1,16,0,0,0,0,16,118.7,0,0,0,,0,0,0,0,,0,0
Alex Collins,BAL,0,0,0,0,0,0,0,0,,13,43,0,14,1,1,3,0,3,0,0
Javorius Allen,BAL,0,0,0,0,0,0,0,0,,7,21,0,7,8,7,44,1,10,0,0
Bobby Rainey,BAL,0,0,0,0,0,0,0,0,,1,2,0,2,3,1,-1,0,-1,0,0
Jeremy Maclin,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,98,0,19,0,0
Ben Watson,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,41,0,16,0,0
Maxx Williams,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,29,0,17,0,0
Breshad Perriman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,28,0,14,0,0
Mike Wallace,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,19,1,8,0,0
Chris Moore,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,16,0,16,0,0
Marcus Mariota,TEN,19,28,218,2,1,3,32,29,100.0,3,6,0,,0,0,0,0,,0,0
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,8,26,1,10,2,2,10,0,6,0,0
Adoree' Jackson,TEN,0,0,0,0,0,0,0,0,,1,20,0,20,0,0,0,0,0,0,0
DeMarco Murray,TEN,0,0,0,0,0,0,0,0,,9,19,0,7,2,2,22,0,17,0,0
Delanie Walker,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,71,0,25,0,0
Rishard Matthews,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,70,1,29,0,0
Corey Davis,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,28,0,23,0,0
Eric Decker,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,21,1,11,0,0
Jonnu Smith,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Taywan Taylor,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,-4,0,-4,0,0
