Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Mario Edwards,OAK,0,0,0,0,0,0.5,5,4,1,0,1,0,0,0,0
Bruce Irvin,OAK,0,0,0,0,0,0.5,4,2,2,0,2,0,0,0,1
NaVorro Bowman,OAK,0,0,0,0,0,0.0,10,5,5,0,1,0,0,0,0
Dexter McDonald,OAK,0,0,0,0,1,0.0,10,5,5,0,0,0,0,0,0
Reggie Nelson,OAK,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
T.J. Carrie,OAK,0,0,0,0,0,0.0,5,5,0,0,0,1,0,0,0
Karl Joseph,OAK,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Khalil Mack,OAK,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Cory James,OAK,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Obi Melifonwu,OAK,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Justin Ellis,OAK,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Sean Smith,OAK,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Denico Autry,OAK,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,0
Erik Harris,OAK,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Marquel Lee,OAK,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nicholas Morrow,OAK,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Eddie Vanderdoes,OAK,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Marshall Newhouse,OAK,0,0,0,0,0,0.0,0,0,0,,,1,0,0,0
Jalen Richard,OAK,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Reshad Jones,MIA,1,0,0,0,1,0.0,9,9,0,1,0,0,0,0,0
Ndamukong Suh,MIA,0,0,0,0,0,1.0,1,1,0,0,0,0,0,0,1
Michael Thomas,MIA,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Kiko Alonso,MIA,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,1
Davon Godchaux,MIA,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Bobby McCain,MIA,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
Lawrence Timmons,MIA,0,0,0,0,0,0.0,4,2,2,1,0,0,0,0,0
Andre Branch,MIA,0,0,0,0,0,0.0,3,1,2,1,0,0,0,0,0
Cordrea Tankersley,MIA,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Terrence Fede,MIA,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
William Hayes,MIA,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Xavien Howard,MIA,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Rey Maualuga,MIA,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Charles Harris,MIA,0,0,0,0,0,0.0,1,1,0,0,0,1,0,0,0
Jarvis Landry,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cody Parkey,MIA,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Senorise Perry,MIA,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jordan Phillips,MIA,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Maurice Smith,MIA,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Cameron Wake,MIA,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Jay Cutler,MIA,0,0,0,0,0,0.0,0,0,0,,,1,0,0,0
