Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Patrick Mahomes,KAN,15,27,256,4,0,1,0,58,127.5,5,21,0,,0,0,0,0,,0,0
Kareem Hunt,KAN,0,0,0,0,0,0,0,0,,16,49,0,13,1,0,0,0,0,0,0
Spencer Ware,KAN,0,0,0,0,0,0,0,0,,3,32,0,27,1,1,8,0,8,0,0
Tyreek Hill,KAN,0,0,0,0,0,0,0,,,2,4,0,,8,7,169,2,,0,0
Anthony Sherman,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,36,1,36,0,0
Sammy Watkins,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,21,0,16,0,0
Chris Conley,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,6,0,6,0,0
De'Anthony Thomas,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,1,1,1,0,0
Damien Williams,KAN,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
Philip Rivers,LAC,34,51,424,3,1,1,6,30,103.7,0,0,0,,0,0,0,0,,0,0
Melvin Gordon,LAC,0,0,0,0,0,0,0,,,15,64,0,,13,9,102,0,,0,0
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,5,39,0,10,5,5,87,1,30,0,0
Travis Benjamin,LAC,0,0,0,0,0,0,0,0,,1,19,0,19,5,1,1,0,1,0,0
Derek Watt,LAC,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,108,1,23,0,0
Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,81,0,25,0,0
Virgil Green,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,0,15,0,0
Antonio Gates,LAC,0,0,0,0,0,0,0,,,0,0,0,,3,2,16,0,,0,0
Tyrell Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,8,1,4,0,0
