Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Ben Roethlisberger,PIT,23,41,335,1,3,4,22,67,60.5,3,16,0,,0,0,0,0,,2,2
James Conner,PIT,0,0,0,0,0,0,0,0,,31,135,2,22,6,5,57,0,19,1,1
Ryan Switzer,PIT,0,0,0,0,0,0,0,0,,1,8,0,8,1,0,0,0,0,0,0
JuJu Smith-Schuster,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,119,0,67,0,0
Antonio Brown,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,16,9,93,1,22,0,0
Jesse James,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,60,0,37,0,0
Justin Hunter,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,6,0,6,0,0
Tyrod Taylor,CLE,15,40,197,1,1,7,47,39,51.8,8,77,1,,0,0,0,0,,1,0
Carlos Hyde,CLE,0,0,0,0,0,0,0,0,,22,62,1,12,2,1,3,0,3,0,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,3,21,0,17,0,0,0,0,0,0,0
Duke Johnson,CLE,0,0,0,0,0,0,0,0,,5,17,0,13,6,1,8,0,8,0,0
Jarvis Landry,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,15,7,106,0,39,0,0
Rashard Higgins,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,38,0,38,0,0
Josh Gordon,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,17,1,17,0,0
David Njoku,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,13,0,8,0,0
Darren Fells,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Antonio Callaway,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
