Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Aaron Rodgers,GNB,37,55,442,2,0,4,29,49,103.7,5,32,2,,0,0,0,0,,0,0
Jamaal Williams,GNB,0,0,0,0,0,0,0,0,,15,95,1,19,9,6,61,0,26,0,0
Equanimeous St. Brown,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,94,0,34,0,0
Marquez Valdes-Scantling,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,75,0,42,0,0
Davante Adams,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,18,11,71,1,16,0,0
Jake Kumerow,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,68,1,49,0,0
Jimmy Graham,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,34,0,16,0,0
Lance Kendricks,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,26,0,20,0,0
Robert Tonyan,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Danny Vitale,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,2,0,2,0,0
Sam Darnold,NYJ,24,35,341,3,0,2,18,33,128.4,3,4,0,,0,0,0,0,,0,0
Elijah McGuire,NYJ,0,0,0,0,0,0,0,0,,14,35,1,10,5,3,50,1,20,0,0
Trenton Cannon,NYJ,0,0,0,0,0,0,0,0,,2,4,0,2,2,1,5,0,5,0,0
Rontez Miles,NYJ,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
Robbie Chosen,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,140,1,33,0,0
Chris Herndon,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,82,1,26,1,0
Jermaine Kearse,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,55,0,29,0,0
Jordan Leggett,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Deontay Burnett,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
