Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Mitchell Trubisky,CHI,18,26,163,0,0,0,0,40,85.9,3,16,0,,0,0,0,0,,0,0
Jordan Howard,CHI,0,0,0,0,0,0,0,0,,21,109,2,42,2,1,5,0,5,0,0
Tarik Cohen,CHI,0,0,0,0,0,0,0,0,,5,24,1,8,3,2,8,0,5,1,0
Benny Cunningham,CHI,0,0,0,0,0,0,0,0,,6,13,0,6,0,0,0,0,0,0,0
Anthony Miller,CHI,0,0,0,0,0,0,0,0,,2,7,0,8,0,0,0,0,0,1,0
Taylor Gabriel,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,61,0,40,0,0
Trey Burton,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,33,0,9,0,0
Javon Wims,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,32,0,16,0,0
Kevin White,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,22,0,22,0,0
Josh Bellamy,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,2,0,2,0,0
Kirk Cousins,MIN,20,33,132,1,0,4,31,18,79.4,1,7,0,,0,0,0,0,,0,0
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,11,39,0,10,5,4,21,0,12,0,0
Latavius Murray,MIN,0,0,0,0,0,0,0,0,,2,18,0,20,0,0,0,0,0,0,0
Stefon Diggs,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,47,1,18,0,0
Kyle Rudolph,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,19,0,9,0,0
Laquon Treadwell,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Aldrick Robinson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,0,0,0,0,0,0
Brandon Zylstra,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,1,-1,0,-1,4,3,38,0,18,0,0
