Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Matthew Stafford,DET,20,32,266,2,0,1,2,41,109.6,2,-2,0,,0,0,0,0,,0,0
Matt Prater,DET,1,1,8,1,0,0,0,8,139.6,0,0,0,,0,0,0,0,,0,0
Zach Zenner,DET,0,0,0,0,0,0,0,0,,21,93,1,13,2,1,30,0,30,0,0
Theo Riddick,DET,0,0,0,0,0,0,0,0,,4,24,0,8,0,0,0,0,0,0,0
LeGarrette Blount,DET,0,0,0,0,0,0,0,0,,11,15,0,6,0,0,0,0,0,0,0
Brandon Powell,DET,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,103,0,41,0,0
Andy Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,50,0,15,0,0
Levine Toilolo,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,43,1,16,0,0
T.J. Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,40,2,23,0,0
Nick Bellore,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,0,8,0,0
Chris Lacy,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
DeShone Kizer,GNB,16,35,132,0,1,2,17,27,44.0,4,40,0,,0,0,0,0,,0,0
Aaron Rodgers,GNB,3,5,26,0,0,1,12,16,73.7,0,0,0,,0,0,0,0,,0,0
Jamaal Williams,GNB,0,0,0,0,0,0,0,0,,8,4,0,5,3,3,16,0,9,0,0
Kapri Bibbs,GNB,0,0,0,0,0,0,0,0,,1,2,0,2,5,3,13,0,5,0,0
Marquez Valdes-Scantling,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,43,0,19,0,0
Randall Cobb,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,27,0,27,0,0
Jimmy Graham,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,21,0,16,0,0
Jake Kumerow,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,19,0,7,0,0
Allen Lazard,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Robert Tonyan,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
J'Mon Moore,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Lance Kendricks,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
