Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Matthew Stafford,DET,34,53,347,3,0,2,18,67,101.7,1,8,0,,0,0,0,0,,1,1
Kerryon Johnson,DET,0,0,0,0,0,0,0,0,,8,43,0,21,6,5,23,0,8,0,0
LeGarrette Blount,DET,0,0,0,0,0,0,0,0,,8,38,0,13,1,1,-3,0,-3,0,0
Golden Tate,DET,0,0,0,0,0,0,0,0,,1,9,0,9,13,7,109,0,67,0,0
Kenny Golladay,DET,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,89,1,30,0,0
Marvin Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,54,1,19,0,0
Theo Riddick,DET,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,47,0,10,0,0
Michael Roberts,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,1,15,0,0
Luke Willson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Jimmy Garoppolo,SFO,18,26,206,2,0,6,50,35,118.4,3,4,0,,0,0,0,0,,1,0
Matt Breida,SFO,0,0,0,0,0,0,0,0,,11,138,1,66,4,3,21,0,9,0,0
Alfred Morris,SFO,0,0,0,0,0,0,0,0,,14,48,0,9,2,2,32,0,16,0,0
Pierre Garcon,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,57,0,20,0,0
Dante Pettis,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,35,0,35,0,0
Garrett Celek,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,22,1,11,0,0
George Kittle,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,17,0,0
Kyle Juszczyk,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,13,0,9,0,0
Kendrick Bourne,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,1,4,0,0
Trent Taylor,SFO,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
