Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Chris Jones,KAN,0,0,0,0,0,1.0,2,1,1,0,0,0,0,0,1
Reggie Ragland,KAN,0,0,0,0,0,0.5,7,4,3,0,1,0,0,0,0
Breeland Speaks,KAN,0,0,0,0,0,0.5,6,1,5,0,0,0,0,0,1
Anthony Hitchens,KAN,0,0,0,0,0,0.0,14,6,8,2,0,0,0,0,0
Jordan Lucas,KAN,0,0,0,0,1,0.0,10,4,6,0,0,0,0,0,0
Ron Parker,KAN,0,0,0,0,0,0.0,9,7,2,0,0,0,0,0,0
Derrick Nnadi,KAN,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
Xavier Williams,KAN,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Steven Nelson,KAN,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Orlando Scandrick,KAN,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Allen Bailey,KAN,0,0,0,0,0,0.0,3,2,1,0,0,1,0,0,0
Kendall Fuller,KAN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Jarvis Jenkins,KAN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Josh Shaw,KAN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Terrance Smith,KAN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Dee Ford,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Anthony Sherman,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Duron Harmon,NWE,1,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Dont'a Hightower,NWE,1,27,0,27,1,0.0,2,0,2,0,1,0,0,0,0
Trey Flowers,NWE,0,0,0,0,0,0.0,7,2,5,1,0,0,0,0,0
Elandon Roberts,NWE,0,0,0,0,1,0.0,7,2,5,0,0,0,0,0,0
Jason McCourty,NWE,0,0,0,0,1,0.0,6,5,1,0,0,0,0,0,0
Patrick Chung,NWE,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Jonathan Jones,NWE,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Devin McCourty,NWE,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Lawrence Guy,NWE,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Danny Shelton,NWE,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Stephon Gilmore,NWE,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Nicholas Grigsby,NWE,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Kyle Van Noy,NWE,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Adrian Clayborn,NWE,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Nate Ebner,NWE,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Brandon King,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Eric Rowe,NWE,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
David Andrews,NWE,0,0,0,0,0,0.0,0,0,0,,,1,0,0,0
Adam Butler,NWE,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
