Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Philip Rivers,LAC,13,26,228,2,0,2,13,54,105.9,0,0,0,,0,0,0,0,,0,0
Melvin Gordon,LAC,0,0,0,0,0,0,0,0,,16,113,1,34,4,1,10,0,10,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,2,28,0,28,10,6,124,0,54,0,0
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,3,21,0,16,2,1,13,0,13,0,0
Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,30,1,30,0,0
Virgil Green,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,28,0,22,0,0
Tyrell Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,23,1,12,0,0
Travis Benjamin,LAC,0,0,0,0,0,0,0,0,,1,-2,0,-2,1,0,0,0,0,0,0
Russell Wilson,SEA,26,39,235,2,1,4,33,42,89.2,5,41,0,,0,0,0,0,,1,0
Mike Davis,SEA,0,0,0,0,0,0,0,0,,15,62,0,12,8,7,45,0,10,0,0
Chris Carson,SEA,0,0,0,0,0,0,0,0,,8,40,0,15,0,0,0,0,0,0,0
Rashaad Penny,SEA,0,0,0,0,0,0,0,0,,4,11,0,9,3,3,13,0,6,0,0
Doug Baldwin,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,77,0,42,0,0
Nick Vannett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,52,1,11,0,0
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,22,0,9,0,0
David Moore,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,16,0,9,0,0
Jaron Brown,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,10,1,10,0,0
Ed Dickson,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
