Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Marcus Mariota,TEN,21,29,240,2,0,4,25,37,119.9,10,32,1,,0,0,0,0,,2,2
Dion Lewis,TEN,0,0,0,0,0,0,0,0,,19,62,0,13,4,4,60,1,37,0,0
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,6,27,1,13,2,2,5,0,3,0,0
Corey Davis,TEN,0,0,0,0,0,0,0,0,,1,4,0,4,10,6,56,0,17,0,0
Darius Jennings,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,36,0,36,0,0
Jonnu Smith,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,33,1,26,0,0
Taywan Taylor,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,24,0,16,0,0
Cameron Batson,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,21,0,12,0,0
Luke Stocker,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Tajae Sharpe,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
Dak Prescott,DAL,21,31,243,2,1,5,18,37,99.3,2,11,0,,1,0,0,0,,1,1
Cole Beasley,DAL,0,1,0,0,0,0,0,0,39.6,0,0,0,,4,3,16,0,,0,0
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,17,61,0,17,5,4,51,0,37,0,0
Amari Cooper,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,58,1,19,0,0
Michael Gallup,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,51,0,21,0,0
Allen Hurns,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,23,1,23,0,0
Deonte Thompson,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,0,15,0,0
Blake Jarwin,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,10,0,0
Rod Smith,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
