Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Trey Flowers,DET,0,0,0,0,0,1.0,7,6,1,2,2,0,0,0,0
Tavon Wilson,DET,0,0,0,0,2,1.0,7,5,2,1,1,0,0,0,0
Jahlani Tavai,DET,0,0,0,0,0,1.0,3,3,0,1,1,0,0,0,0
Devon Kennard,DET,0,0,0,0,0,1.0,2,2,0,1,2,0,0,0,0
Mike Daniels,DET,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Jarrad Davis,DET,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,0
Damon Harrison,DET,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Darius Slay,DET,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Justin Coleman,DET,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Will Harris,DET,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
A'Shawn Robinson,DET,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
John Atkins,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Mike Ford,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Christian Jones,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Steve Longa,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Rashaan Melvin,DET,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Paul Perkins,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jalen Reeves-Maybin,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Logan Thomas,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Dee Virgin,DET,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nick Kwiatkoski,CHI,1,4,0,4,1,1.0,10,9,1,1,1,0,0,0,0
Nick Williams,CHI,0,0,0,0,0,1.0,3,2,1,1,2,0,0,0,0
Roquan Smith,CHI,0,0,0,0,0,0.0,11,7,4,0,0,0,0,0,0
Ha Ha Clinton-Dix,CHI,0,0,0,0,1,0.0,6,3,3,0,0,0,0,0,0
Kyle Fuller,CHI,0,0,0,0,1,0.0,6,4,2,0,0,0,0,0,0
Prince Amukamara,CHI,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Buster Skrine,CHI,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Brent Urban,CHI,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
DeAndre Houston-Carson,CHI,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Khalil Mack,CHI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Danny Trevathan,CHI,0,0,0,0,0,0.0,3,2,1,0,1,0,0,0,0
Leonard Floyd,CHI,0,0,0,0,0,0.0,2,2,0,0,2,0,0,0,0
Eddie Goldman,CHI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Eddie Jackson,CHI,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Ben Braunecker,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Aaron Lynch,CHI,0,0,0,0,0,0.0,1,1,0,0,1,0,0,0,0
Sherrick McManis,CHI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Anthony Miller,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Bilal Nichols,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kevin Pierre-Louis,CHI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Roy Robertson-Harris,CHI,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Mitchell Trubisky,CHI,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
