Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jameis Winston,TAM,21,33,268,0,0,4,27,32,89.0,6,20,0,16,0,0,0,0,0,1,1
Peyton Barber,TAM,0,0,0,0,0,0,0,0,,17,44,2,15,0,0,0,0,0,0,0
Ronald Jones II,TAM,0,0,0,0,0,0,0,0,,6,8,0,5,0,0,0,0,0,0,0
T.J. Logan,TAM,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Breshad Perriman,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,87,0,32,0,0
O.J. Howard,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,61,0,25,0,0
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,11,4,53,0,25,0,0
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,50,0,27,0,0
Dare Ogunbowale,TAM,0,0,0,0,0,0,0,0,,1,0,0,0,2,2,12,0,6,0,0
Cameron Brate,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Justin Watson,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Gardner Minshew II,JAX,16,27,147,1,1,2,24,30,71.1,2,8,0,4,0,0,0,0,0,1,0
Nick Foles,JAX,7,14,93,0,1,3,23,39,41.7,1,3,0,3,0,0,0,0,0,2,2
Leonard Fournette,JAX,0,0,0,0,0,0,0,0,,14,38,0,10,11,9,53,0,14,0,0
Dede Westbrook,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,60,1,39,0,0
Chris Conley,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,57,0,20,0,0
DJ Chark,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,47,0,30,0,0
Keelan Cole,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,11,0,11,0,0
Michael Walker,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
Nick O'Leary,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,6,0,6,0,0
Ryquell Armstead,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
