Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
David Blough,DET,24,40,205,1,2,5,44,23,60.9,0,0,0,0,0,0,0,0,0,0,0
Bo Scarbrough,DET,0,0,0,0,0,0,0,0,,19,65,0,7,3,1,5,0,5,0,0
Ty Johnson,DET,0,0,0,0,0,0,0,0,,2,3,0,5,1,1,7,0,7,0,0
J.D. McKissic,DET,0,0,0,0,0,0,0,0,,1,2,0,2,4,4,16,0,5,0,0
Kenny Golladay,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,58,1,18,0,0
Marvin Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,38,0,18,0,0
Danny Amendola,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,34,0,10,0,0
Jesse James,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,23,0,23,0,0
Logan Thomas,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,21,0,11,0,0
Isaac Nauta,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Kirk Cousins,MIN,24,30,242,1,0,1,8,44,111.4,1,-1,0,-1,0,0,0,0,0,0,0
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,18,62,1,9,2,2,13,0,10,0,0
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,14,46,0,9,2,2,18,0,9,0,0
Mike Boone,MIN,0,0,0,0,0,0,0,0,,5,13,0,4,0,0,0,0,0,0,0
Stefon Diggs,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,92,0,44,0,0
Laquon Treadwell,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,42,0,36,0,0
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,1,0,0,0,1,1,25,0,25,0,0
Irv Smith Jr.,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,21,0,13,0,0
Tyler Conklin,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,13,0,11,0,0
Kyle Rudolph,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,11,0,8,0,0
Olabisi Johnson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,1,9,0,0
Ameer Abdullah,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Alexander Hollins,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Garrett Bradbury,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-4,0,-4,0,0
