Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Nick Vigil,CIN,0,0,0,0,0,0.0,11,8,3,2,0,0,0,0,1
Shawn Williams,CIN,0,0,0,0,0,0.0,9,5,4,0,0,0,0,0,0
Preston Brown,CIN,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Jessie Bates III,CIN,0,0,0,0,0,0.0,6,4,2,0,0,1,0,0,0
Dre Kirkpatrick,CIN,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
Sam Hubbard,CIN,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Andrew Billings,CIN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Brandon Wilson,CIN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Geno Atkins,CIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
William Jackson III,CIN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Germaine Pratt,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
LaRoy Reynolds,CIN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
B.W. Webb,CIN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Josh Tupou,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Renell Wren,CIN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Mark Barron,PIT,1,0,0,0,1,0.0,11,8,3,1,0,0,0,0,0
Cameron Heyward,PIT,0,0,0,0,0,2.5,6,4,2,1,3,0,0,0,1
T.J. Watt,PIT,0,0,0,0,0,1.5,2,1,1,1,3,1,0,0,0
Devin Bush Jr.,PIT,0,0,0,0,1,1.0,9,6,3,3,1,0,0,0,0
Bud Dupree,PIT,0,0,0,0,0,1.0,6,5,1,0,1,0,0,0,1
Javon Hargrave,PIT,0,0,0,0,0,1.0,3,2,1,1,1,0,0,0,0
Tyson Alualu,PIT,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Mike Hilton,PIT,0,0,0,0,2,0.0,5,4,1,1,0,0,0,0,0
Terrell Edmunds,PIT,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
Minkah Fitzpatrick,PIT,0,0,0,0,0,0.0,4,2,2,0,0,0,0,0,0
Joe Haden,PIT,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Steven Nelson,PIT,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Cameron Sutton,PIT,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
Olasunkanmi Adeniyi,PIT,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jordan Dangerfield,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jayrone Elliott,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ulysees Gilbert,PIT,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Stephon Tuitt,PIT,0,0,0,0,0,0.0,1,1,0,0,2,0,0,0,0
