Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Baker Mayfield,CLE,20,30,342,1,1,1,5,65,102.4,3,1,0,1,0,0,0,0,0,0,0
Odell Beckham Jr.,CLE,0,1,0,0,0,0,0,0,39.6,0,0,0,0,7,2,20,0,17,0,0
Nick Chubb,CLE,0,0,0,0,0,0,0,0,,20,165,3,88,4,3,18,0,10,0,0
Dontrell Hilliard,CLE,0,0,0,0,0,0,0,0,,6,27,1,11,3,2,27,0,19,0,0
Jarvis Landry,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,167,0,65,0,0
Ricky Seals-Jones,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,82,1,59,0,0
Pharaoh Brown,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,18,0,18,0,0
Damion Ratley,CLE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,10,0,10,0,0
Lamar Jackson,BAL,24,34,247,3,2,4,25,50,96.1,9,66,0,29,0,0,0,0,0,1,0
Mark Ingram,BAL,0,0,0,0,0,0,0,0,,12,71,0,18,1,1,0,0,0,1,1
Gus Edwards,BAL,0,0,0,0,0,0,0,0,,6,28,0,14,1,1,8,0,8,0,0
Justice Hill,BAL,0,0,0,0,0,0,0,0,,2,8,0,5,2,2,9,0,5,0,0
Willie Snead,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,61,1,50,0,0
Hayden Hurst,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,39,0,29,0,0
Seth Roberts,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,36,0,15,0,0
Miles Boykin,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,32,1,18,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,31,1,11,0,0
Marquise Brown,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,22,0,10,0,0
Nick Boyle,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Chris Moore,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
