Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Tom Brady,NWE,18,39,150,0,1,0,0,31,45.9,3,-3,0,-1,0,0,0,0,0,0,0
Sony Michel,NWE,0,0,0,0,0,0,0,0,,17,63,0,15,0,0,0,0,0,0,0
Phillip Dorsett,NWE,0,0,0,0,0,0,0,0,,1,9,0,9,9,2,10,0,5,0,0
Brandon Bolden,NWE,0,0,0,0,0,0,0,0,,1,4,1,4,0,0,0,0,0,0,0
James White,NWE,0,0,0,0,0,0,0,0,,1,1,0,1,10,8,57,0,26,0,0
Josh Gordon,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,46,0,31,0,0
Julian Edelman,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,30,0,10,1,0
Rex Burkhead,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Josh Allen,BUF,13,28,153,0,3,4,31,23,24.0,5,26,1,15,0,0,0,0,0,1,0
Matt Barkley,BUF,9,16,127,0,1,1,9,28,56.0,0,0,0,0,0,0,0,0,0,1,0
Frank Gore,BUF,0,0,0,0,0,0,0,0,,17,109,0,41,1,0,0,0,0,0,0
Cole Beasley,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,75,0,20,0,0
John Brown,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,69,0,28,0,0
T.J. Yeldon,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,68,0,23,0,0
Dawson Knox,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,58,0,21,0,0
Andre Roberts,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Zay Jones,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,2,4,0,3,0,0
