Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Matt Ryan,ATL,30,36,356,4,0,2,15,30,144.9,2,7,0,6,0,0,0,0,0,1,0
Devonta Freeman,ATL,0,0,0,0,0,0,0,0,,19,88,0,15,3,3,30,2,12,0,0
Ito Smith,ATL,0,0,0,0,0,0,0,0,,3,6,0,3,0,0,0,0,0,0,0
Keith Smith,ATL,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Austin Hooper,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,8,8,117,1,30,0,0
Julio Jones,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,9,8,108,0,22,0,0
Calvin Ridley,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,48,1,23,0,0
Mohamed Sanu,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,29,0,15,0,0
Jaeden Graham,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,0,21,0,0
Russell Gage,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Luke Stocker,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,0,0,0
Kaleb McGary,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,-3,0,-3,0,0
Kyler Murray,ARI,27,37,340,3,0,0,0,58,128.2,11,32,0,14,0,0,0,0,0,0,0
David Johnson,ARI,0,0,0,0,0,0,0,0,,12,34,1,17,8,6,68,1,30,0,0
Chase Edmonds,ARI,0,0,0,0,0,0,0,0,,5,34,0,15,2,2,33,1,31,0,0
Pharoh Cooper,ARI,0,0,0,0,0,0,0,0,,1,2,0,2,4,3,16,0,7,0,0
Larry Fitzgerald,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,69,0,22,0,0
Damiere Byrd,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,60,0,58,0,0
Trent Sherfield,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,38,0,38,0,0
Maxx Williams,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,34,1,20,0,0
KeeSean Johnson,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,14,0,7,0,0
Charles Clay,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,8,0,6,0,0
