Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Teddy Bridgewater,NOR,24,36,240,1,0,3,18,27,94.7,3,0,0,2,0,0,0,0,0,0,0
Latavius Murray,NOR,0,0,0,0,0,0,0,0,,8,44,0,15,3,3,35,0,17,0,0
Alvin Kamara,NOR,0,0,0,0,0,0,0,0,,11,31,0,7,8,7,35,0,14,1,0
Taysom Hill,NOR,0,0,0,0,0,0,0,0,,3,17,0,19,0,0,0,0,0,0,0
Ted Ginn Jr.,NOR,0,0,0,0,0,0,0,0,,1,12,0,12,6,2,36,0,27,0,0
Michael Thomas,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,89,0,26,0,0
Jared Cook,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,37,1,20,0,0
Josh Hill,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Gardner Minshew II,JAX,14,29,163,0,1,2,12,23,51.4,2,1,0,2,0,0,0,0,0,0,0
Leonard Fournette,JAX,0,0,0,0,0,0,0,0,,20,72,0,16,6,6,46,0,10,0,0
Ryquell Armstead,JAX,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Marqise Lee,JAX,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Dede Westbrook,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,53,0,23,0,0
DJ Chark,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,7,3,43,0,22,0,0
Seth Devalve,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,16,0,16,0,0
Geoff Swaim,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Chris Conley,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
