Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Anthony Hitchens,KAN,0,0,0,0,0,2.0,6,5,1,1,2,0,0,0,1
Frank Clark,KAN,0,0,0,0,0,2.0,5,5,0,2,1,0,0,0,1
Alex Okafor,KAN,0,0,0,0,0,2.0,4,4,0,2,3,0,0,0,1
Emmanuel Ogbah,KAN,0,0,0,0,2,1.0,3,3,0,1,1,0,0,0,0
Reggie Ragland,KAN,0,0,0,0,0,1.0,2,2,0,1,1,1,5,1,0
Armani Watts,KAN,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Ben Niemann,KAN,0,0,0,0,0,0.0,6,5,1,1,0,0,0,0,0
Morris Claiborne,KAN,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Tyrann Mathieu,KAN,0,0,0,0,0,0.0,5,5,0,0,0,0,0,0,0
Rashad Fenton,KAN,0,0,0,0,1,0.0,4,3,1,0,0,0,0,0,0
Juan Thornhill,KAN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Charvarius Ward,KAN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Damien Wilson,KAN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Jordan Lucas,KAN,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Derrick Nnadi,KAN,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Byron Pringle,KAN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Khalen Saunders,KAN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Daniel Sorensen,KAN,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Tanoh Kpassagnon,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Terrell McClain,KAN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Anthony Sherman,KAN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
De'Anthony Thomas,KAN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
DeMarcus Walker,DEN,0,0,0,0,0,1.0,5,3,2,1,1,0,0,0,0
Todd Davis,DEN,0,0,0,0,0,0.0,8,6,2,1,0,0,0,0,0
Justin Simmons,DEN,0,0,0,0,2,0.0,8,7,1,0,0,0,0,0,0
Mike Purcell,DEN,0,0,0,0,0,0.0,5,4,1,1,1,0,0,0,0
Malik Reed,DEN,0,0,0,0,0,0.0,4,3,1,1,0,0,0,0,0
Davontae Harris,DEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Kareem Jackson,DEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Alexander Johnson,DEN,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Derek Wolfe,DEN,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Duke Dawson,DEN,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Joseph Jones,DEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Dre'Mont Jones,DEN,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0
Will Parks,DEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Shelby Harris,DEN,0,0,0,0,2,0.0,1,1,0,0,0,0,0,0,0
Chris Harris Jr.,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Justin Hollins,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Josey Jewell,DEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Trey Marshall,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Isaac Yiadom,DEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Royce Freeman,DEN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Elijah Wilkinson,DEN,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
