Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Carson Wentz,PHI,16,26,191,1,1,3,23,30,80.8,4,12,0,6,0,0,0,0,0,2,2
Jordan Howard,PHI,0,0,0,0,0,0,0,0,,11,50,0,16,2,2,6,0,9,0,0
Boston Scott,PHI,0,0,0,0,0,0,0,0,,7,32,0,14,1,1,5,0,5,1,0
Miles Sanders,PHI,0,0,0,0,0,0,0,0,,6,21,0,7,3,3,11,0,5,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,69,1,28,1,1
Zach Ertz,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,38,0,24,0,0
Alshon Jeffery,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,38,0,30,0,0
Nelson Agholor,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,24,0,18,0,0
Mack Hollins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Dak Prescott,DAL,21,27,239,1,1,3,26,44,100.5,5,30,1,8,0,0,0,0,0,1,0
Ezekiel Elliott,DAL,0,0,0,0,0,0,0,0,,22,111,1,16,7,6,36,0,9,0,0
Tony Pollard,DAL,0,0,0,0,0,0,0,0,,8,28,0,11,0,0,0,0,0,0,0
Tavon Austin,DAL,0,0,0,0,0,0,0,0,,1,20,1,20,1,0,0,0,0,0,0
Amari Cooper,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,106,0,44,0,0
Michael Gallup,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,34,0,14,0,0
Jason Witten,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,33,0,10,0,0
Randall Cobb,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,29,0,15,0,0
Blake Jarwin,DAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,1,1,0,0
