Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Philip Rivers,LAC,19,29,201,1,1,1,6,43,82.7,0,0,0,0,0,0,0,0,0,0,0
Melvin Gordon,LAC,0,0,0,0,0,0,0,0,,8,31,1,19,3,2,3,0,3,0,0
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,3,3,0,3,3,2,19,1,11,0,0
Derek Watt,LAC,0,0,0,0,0,0,0,0,,1,2,0,2,0,0,0,0,0,0,0
Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,69,0,43,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,53,0,17,0,0
Hunter Henry,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,47,0,20,0,0
Virgil Green,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Mitchell Trubisky,CHI,23,35,253,0,1,4,27,35,75.1,4,10,0,11,0,0,0,0,0,1,1
David Montgomery,CHI,0,0,0,0,0,0,0,0,,27,135,1,55,5,4,12,0,8,0,0
Tarik Cohen,CHI,0,0,0,0,0,0,0,0,,4,9,0,6,3,3,37,0,31,0,0
Cordarrelle Patterson,CHI,0,0,0,0,0,0,0,0,,1,5,0,5,2,2,1,0,1,0,0
Mike Davis,CHI,0,0,0,0,0,0,0,0,,2,3,0,3,1,1,5,0,5,0,0
Anthony Miller,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,67,0,35,0,0
Allen Robinson,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,62,0,31,0,0
Taylor Gabriel,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,53,0,22,0,0
Trey Burton,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,16,0,16,0,0
Adam Shaheen,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
