Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Deshaun Watson,HOU,17,25,318,4,0,2,11,40,150.4,8,24,0,12,0,0,0,0,0,0,0
Duke Johnson,HOU,0,0,0,0,0,0,0,0,,9,37,0,8,4,3,43,1,33,0,0
C.J. Prosise,HOU,0,0,0,0,0,0,0,0,,5,12,0,7,1,1,2,1,2,1,1
Jordan Akins,HOU,0,0,0,0,0,0,0,0,,1,4,0,4,2,0,0,0,0,0,0
Will Fuller,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,171,2,40,0,0
Brandin Cooks,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,85,0,27,0,0
Keke Coutee,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,17,0,9,0,0
Kahale Warring,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Matthew Stafford,DET,28,42,295,1,1,4,16,51,84.9,1,3,0,3,1,0,0,0,0,1,0
Jamal Agnew,DET,0,1,0,0,0,0,0,0,39.6,0,0,0,0,1,0,0,0,0,0,0
Adrian Peterson,DET,0,0,0,0,0,0,0,0,,15,55,2,19,0,0,0,0,0,0,0
Kerryon Johnson,DET,0,0,0,0,0,0,0,0,,11,46,0,8,4,4,52,0,20,1,1
Jonathan Williams,DET,0,0,0,0,0,0,0,0,,1,5,0,5,4,4,21,0,10,1,1
T.J. Hockenson,DET,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,89,0,51,0,0
Marvin Jones,DET,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,48,0,16,0,0
Mohamed Sanu,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,32,1,14,0,0
Quintez Cephus,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,27,0,16,0,0
Marvin Hall,DET,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,16,0,9,0,0
Jesse James,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Jason Cabinda,DET,0,0,0,0,0,0,0,0,,1,0,0,0,1,0,0,0,0,0,0
