Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Mike Glennon,JAX,28,42,280,1,2,2,14,34,73.5,3,9,0,4,0,0,0,0,0,1,1
James Robinson,JAX,0,0,0,0,0,0,0,0,,18,78,1,15,6,6,30,0,8,0,0
Laviska Shenault Jr.,JAX,0,0,0,0,0,0,0,0,,2,30,0,17,3,3,38,1,28,0,0
Dare Ogunbowale,JAX,0,0,0,0,0,0,0,0,,2,7,0,4,2,0,0,0,0,0,0
Collin Johnson,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,66,0,34,0,0
Tyler Eifert,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,45,0,13,0,0
DJ Chark,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,41,0,22,0,0
James O'Shaughnessy,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,41,0,24,0,0
Chris Conley,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,9,1,1
Keelan Cole,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Eric Saubert,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Kirk Cousins,MIN,28,43,305,3,1,4,30,40,99.5,3,12,0,10,0,0,0,0,0,1,1
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,32,120,0,12,9,6,59,0,20,0,0
Ameer Abdullah,MIN,0,0,0,0,0,0,0,0,,2,11,0,7,1,1,18,0,18,0,0
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,1,2,0,2,12,9,121,1,40,0,0
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,75,1,14,0,0
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,1,12,0,0
Tyler Conklin,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Chad Beebe,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,10,0,5,0,0
Kyle Rudolph,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
