Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Malcolm Butler,TEN,1,11,0,11,2,0.0,3,3,0,0,0,0,0,0,0
Kevin Byard,TEN,0,0,0,0,0,0.0,11,8,3,0,0,0,0,0,0
Rashaan Evans,TEN,0,0,0,0,2,0.0,8,6,2,0,0,0,0,0,0
Amani Hooker,TEN,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0
David Long,TEN,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Matt Dickerson,TEN,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Desmond King,TEN,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
Tye Smith,TEN,0,0,0,0,1,0.0,3,2,1,1,0,0,0,0,0
Jack Crawford,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Harold Landry,TEN,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Daren Bates,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
DaQuan Jones,TEN,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Joshua Kalu,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Larrell Murchison,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jeffery Simmons,TEN,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tuzar Skipper,TEN,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Joe Giles-Harris,JAX,0,0,0,0,0,1.0,5,2,3,1,1,0,0,0,0
Myles Jack,JAX,0,0,0,0,0,0.0,10,7,3,1,0,0,0,0,0
Tre Herndon,JAX,0,0,0,0,1,0.0,9,7,2,0,0,0,0,0,0
Joe Schobert,JAX,0,0,0,0,0,0.0,8,5,3,1,1,0,0,0,0
Jarrod Wilson,JAX,0,0,0,0,0,0.0,7,5,2,1,0,0,0,0,0
Daniel Ekuale,JAX,0,0,0,0,0,0.0,6,2,4,0,0,0,0,0,0
Doug Costin,JAX,0,0,0,0,0,0.0,4,2,2,0,1,1,0,0,0
Adam Gotsis,JAX,0,0,0,0,0,0.0,3,0,3,0,1,0,0,0,0
Sidney Jones,JAX,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Josh Jones,JAX,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Greg Mabin,JAX,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Andrew Wingard,JAX,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Dare Ogunbowale,JAX,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Dawuane Smoot,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,1
Dakota Allen,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Taven Bryan,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Aaron Lynch,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Brandon Rusnak,JAX,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Josiah Scott,JAX,0,0,0,0,0,0.0,1,1,0,1,0,0,0,0,0
K'Lavon Chaisson,JAX,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0
