Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Tom Brady,TAM,25,38,297,3,0,2,12,47,115.8,5,0,0,1,0,0,0,0,0,1,0
Ronald Jones II,TAM,0,0,0,0,0,0,0,0,,13,53,0,13,4,2,20,0,11,0,0
Leonard Fournette,TAM,0,0,0,0,0,0,0,0,,7,15,0,6,2,2,7,0,4,0,0
Scott Miller,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,83,0,47,0,0
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,64,1,30,0,0
O.J. Howard,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,49,0,33,0,0
Rob Gronkowski,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,48,0,10,0,0
LeSean McCoy,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,24,0,15,0,0
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,2,2,1,0,0
Jeff Driskel,DEN,17,30,176,1,1,5,45,28,71.0,3,14,0,9,0,0,0,0,0,0,0
Brett Rypien,DEN,8,9,53,0,1,1,0,22,51.6,0,0,0,0,0,0,0,0,0,1,0
Melvin Gordon,DEN,0,0,0,0,0,0,0,0,,8,26,0,9,6,4,12,0,6,0,0
Royce Freeman,DEN,0,0,0,0,0,0,0,0,,2,4,0,2,2,2,31,0,28,0,0
Jerry Jeudy,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,55,0,22,0,0
Noah Fant,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,10,5,46,0,18,0,0
Tim Patrick,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,43,1,27,0,0
Diontae Spencer,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Jake Butt,DEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
KJ Hamler,DEN,0,0,0,0,0,0,0,0,,1,-2,0,-2,5,3,30,0,17,0,0
