Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Trevor Siemian,NOR,22,40,214,3,2,0,0,26,74.4,2,16,1,17,0,0,0,0,0,0,0
Mark Ingram,NOR,0,0,0,0,0,0,0,0,,16,88,0,28,8,6,25,0,7,1,1
Dwayne Washington,NOR,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,6,0,6,0,0
Tony Jones,NOR,0,0,0,0,0,0,0,0,,3,2,0,2,0,0,0,0,0,0,0
Tre'Quan Smith,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,64,0,22,0,0
Adam Trautman,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,58,1,19,0,0
Marquez Callaway,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,26,1,26,0,0
Nick Vannett,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0
Deonte Harty,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,11,0,9,1,0
Lil'Jordan Humphrey,NOR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,1,4,0,0
Jalen Hurts,PHI,13,24,147,0,0,3,9,33,72.7,18,69,3,24,0,0,0,0,0,0,0
Miles Sanders,PHI,0,0,0,0,0,0,0,0,,16,94,0,25,1,0,0,0,0,1,1
Jordan Howard,PHI,0,0,0,0,0,0,0,0,,10,63,0,18,0,0,0,0,0,0,0
Boston Scott,PHI,0,0,0,0,0,0,0,0,,6,16,0,5,2,2,2,0,4,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,62,0,16,0,0
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,61,0,33,0,0
JJ Arcega-Whiteside,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,23,0,23,0,0
Quez Watkins,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Tyree Jackson,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jalen Reagor,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,-1,0,-1,0,0
