Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Ben Roethlisberger,PIT,28,44,273,3,0,3,28,37,103.7,0,0,0,0,0,0,0,0,0,1,0
Najee Harris,PIT,0,0,0,0,0,0,0,0,,12,39,1,12,6,5,20,0,7,0,0
Benny Snell Jr.,PIT,0,0,0,0,0,0,0,0,,2,7,0,4,0,0,0,0,0,0,0
Ray-Ray McCloud,PIT,0,0,0,0,0,0,0,0,,1,5,0,5,2,2,12,0,8,0,0
Kalen Ballage,PIT,0,0,0,0,0,0,0,0,,1,3,0,3,1,0,0,0,0,0,0
Chase Claypool,PIT,0,0,0,0,0,0,0,0,,2,1,0,3,9,5,93,0,37,0,0
Diontae Johnson,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,101,1,32,0,0
Eric Ebron,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,24,1,18,0,0
James Washington,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,7,0,0
Pat Freiermuth,PIT,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,11,1,5,0,0
Justin Herbert,LAC,30,41,382,3,1,2,8,53,116.1,9,90,0,36,0,0,0,0,0,0,0
Austin Ekeler,LAC,0,0,0,0,0,0,0,0,,11,50,2,12,7,6,65,2,17,0,0
Josh Palmer,LAC,0,0,0,0,0,0,0,0,,1,6,0,6,1,1,17,0,17,0,0
Larry Rountree,LAC,0,0,0,0,0,0,0,0,,2,5,0,5,0,0,0,0,0,0,0
Andre Roberts,LAC,0,0,0,0,0,0,0,0,,1,4,0,4,0,0,0,0,0,0,0
Jalen Guyton,LAC,0,0,0,0,0,0,0,0,,1,2,0,2,2,1,18,0,18,0,0
Justin Jackson,LAC,0,0,0,0,0,0,0,0,,1,2,0,2,1,0,0,0,0,0,0
Keenan Allen,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,13,9,112,0,30,0,0
Mike Williams,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,97,1,53,0,0
Donald Parham,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,38,0,12,0,0
Jared Cook,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,28,0,13,0,0
Tre' McKitty,LAC,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
