Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Kirk Cousins,MIN,12,24,87,2,1,4,26,18,69.3,2,10,0,7,0,0,0,0,0,1,0
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,28,89,0,10,3,2,2,0,2,0,0
Kene Nwangwu,MIN,0,0,0,0,0,0,0,0,,3,33,0,19,0,0,0,0,0,0,0
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,4,47,1,18,0,0
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,21,0,9,0,0
Tyler Conklin,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,7,0,7,0,0
Ihmir Smith-Marsette,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,1,7,0,0
C.J. Ham,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Justin Fields,CHI,26,39,285,1,0,3,30,27,96.6,7,35,0,23,0,0,0,0,0,2,1
David Montgomery,CHI,0,0,0,0,0,0,0,0,,18,60,0,16,6,5,23,0,12,1,1
Jakeem Grant,CHI,0,0,0,0,0,0,0,0,,2,17,0,13,0,0,0,0,0,0,0
Darnell Mooney,CHI,0,0,0,0,0,0,0,0,,1,3,0,3,7,5,63,0,27,0,0
Cole Kmet,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,71,0,23,0,0
Damiere Byrd,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,62,0,17,1,1
Khalil Herbert,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,34,0,16,0,0
Jesper Horsted,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,19,1,19,0,0
Jimmy Graham,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,13,0,13,0,0
Dazz Newsome,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
