Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Tim Boyle,DET,24,34,187,1,1,0,0,24,81.4,0,0,0,0,0,0,0,0,0,0,0
Jack Fox,DET,1,1,21,0,0,0,0,21,118.7,0,0,0,0,0,0,0,0,0,0,0
Jamaal Williams,DET,0,0,0,0,0,0,0,0,,19,77,0,14,0,0,0,0,0,0,0
Craig Reynolds,DET,0,0,0,0,0,0,0,0,,11,29,0,5,4,3,22,0,14,0,0
Amon-Ra St. Brown,DET,0,0,0,0,0,0,0,0,,2,19,0,12,11,9,91,1,24,0,0
Kalif Raymond,DET,0,0,0,0,0,0,0,0,,1,5,0,5,5,3,12,0,6,0,0
Josh Reynolds,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,2,36,0,23,0,0
KhaDarel Hodge,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,21,0,21,0,0
Tom Kennedy,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,16,0,8,0,0
Jason Cabinda,DET,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,6,0,4,0,0
Brock Wright,DET,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,4,0,5,0,0
Matt Ryan,ATL,18,24,215,1,0,3,8,35,115.8,4,5,0,3,0,0,0,0,0,0,0
Mike Davis,ATL,0,0,0,0,0,0,0,0,,7,28,0,9,1,1,7,0,7,0,0
Cordarrelle Patterson,ATL,0,0,0,0,0,0,0,0,,7,14,1,6,2,1,-1,0,-1,0,0
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,102,0,35,0,0
Russell Gage,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,39,0,15,1,1
Olamide Zaccheaus,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,32,0,17,0,0
Hayden Hurst,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,1,12,0,0
Marvin Hall,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,10,0,10,0,0
Christian Blake,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
