Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Matthew Stafford,LAR,26,35,309,2,2,1,9,35,96.0,1,-1,0,-1,0,0,0,0,0,1,1
Sony Michel,LAR,0,0,0,0,0,0,0,0,,19,74,1,14,5,3,25,0,12,0,0
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,95,1,24,0,0
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,69,0,19,0,0
Van Jefferson,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,63,0,35,0,0
Odell Beckham Jr.,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,39,1,17,0,0
Ben Skowronek,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,15,0,0
Tyler Huntley,BAL,20,32,197,0,1,5,35,33,66.8,6,54,0,17,0,0,0,0,0,0,0
Devonta Freeman,BAL,0,0,0,0,0,0,0,0,,14,76,0,32,1,1,1,0,1,0,0
Latavius Murray,BAL,0,0,0,0,0,0,0,0,,11,31,0,6,0,0,0,0,0,0,0
Devin Duvernay,BAL,0,0,0,0,0,0,0,0,,1,4,0,4,3,2,19,0,14,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,89,0,33,0,0
Rashod Bateman,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,10,7,58,0,15,0,0
Marquise Brown,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,8,3,28,0,13,1,1
Nick Boyle,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
