Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Al-Quadin Muhammad,IND,0,0,0,0,0,1.0,4,2,2,1,1,0,0,0,0
Kenny Moore,IND,0,0,0,0,0,0.0,10,8,2,1,0,0,0,0,0
Shaquille Leonard,IND,0,0,0,0,0,0.0,7,1,6,0,0,0,0,0,0
Khari Willis,IND,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
Kwity Paye,IND,0,0,0,0,0,0.0,5,1,4,0,0,0,0,0,0
Isaiah Rodgers,IND,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Bobby Okereke,IND,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
DeForest Buckner,IND,0,0,0,0,0,0.0,3,3,0,1,0,0,0,0,0
Anthony Chesley,IND,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Zaire Franklin,IND,0,0,0,0,0,0.0,3,1,2,0,0,1,0,0,0
Grover Stewart,IND,0,0,0,0,1,0.0,3,2,1,0,0,0,0,0,0
Jahleel Addae,IND,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Isaac Rochell,IND,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Taylor Stallworth,IND,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Chris Williams,IND,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,0
Mo Alie-Cox,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
George Odum,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Kemoko Turay,IND,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Rock Ya-Sin,IND,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Dayo Odeyingbo,IND,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Jonathan Taylor,IND,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Damien Wilson,JAX,1,1,0,1,1,1.0,5,2,3,0,1,0,0,0,1
Josh Hines-Allen,JAX,0,0,0,0,0,2.0,4,3,1,2,2,0,0,0,0
Adam Gotsis,JAX,0,0,0,0,0,1.0,4,4,0,1,1,0,0,0,0
Malcom Brown,JAX,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Dawuane Smoot,JAX,0,0,0,0,1,1.0,1,1,0,1,1,0,0,0,0
Tyson Campbell,JAX,0,0,0,0,1,0.0,8,6,2,1,0,0,0,0,0
Myles Jack,JAX,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Andre Cisco,JAX,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,1
Shaquill Griffin,JAX,0,0,0,0,1,0.0,4,1,3,0,0,0,0,0,0
Daniel Thomas,JAX,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Tre Herndon,JAX,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Tyrell Adams,JAX,0,0,0,0,0,0.0,2,2,0,0,0,0,0,0,1
DaVon Hamilton,JAX,0,0,0,0,0,0.0,2,2,0,0,0,1,0,0,0
Nevin Lawson,JAX,0,0,0,0,2,0.0,2,2,0,0,0,0,0,0,0
Chris Claybrooks,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Nathan Cottrell,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jay Tufele,JAX,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jihad Ward,JAX,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Roy Robertson-Harris,JAX,0,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0
