Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Kirk Cousins,MIN,22,32,244,3,0,1,2,64,122.4,2,35,0,29,0,0,0,0,0,1,0
Dalvin Cook,MIN,0,0,0,0,0,0,0,0,,22,131,0,16,3,2,17,0,14,0,0
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,3,11,0,6,1,1,17,0,17,0,0
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,91,1,64,0,0
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,10,6,65,1,14,0,0
Adam Thielen,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,39,1,15,1,0
Tyler Conklin,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,15,0,9,0,0
Ameer Abdullah,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Kyler Murray,ARI,29,36,400,3,2,3,29,77,117.6,5,31,1,12,0,0,0,0,0,0,0
Chase Edmonds,ARI,0,0,0,0,0,0,0,0,,8,46,0,14,5,5,29,0,13,0,0
James Conner,ARI,0,0,0,0,0,0,0,0,,8,26,0,9,0,0,0,0,0,0,0
Rondale Moore,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,114,1,77,1,0
Maxx Williams,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,94,0,34,0,0
Christian Kirk,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,65,0,35,0,0
DeAndre Hopkins,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,54,1,16,0,0
A.J. Green,ARI,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,44,1,29,0,0
