Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Lorenzo Carter,NYG,1,1,0,1,1,0.0,2,1,1,0,0,0,0,0,0
Austin Johnson,NYG,0,0,0,0,0,1.0,4,3,1,2,1,0,0,0,0
Danny Shelton,NYG,0,0,0,0,0,0.5,6,2,4,0,1,0,0,0,0
Leonard Williams,NYG,0,0,0,0,0,0.5,6,2,4,0,1,0,0,0,0
Tae Crowder,NYG,0,0,0,0,0,0.0,8,5,3,0,0,0,0,0,1
Logan Ryan,NYG,0,0,0,0,0,0.0,8,6,2,0,0,0,0,0,0
Adoree' Jackson,NYG,0,0,0,0,0,0.0,7,7,0,0,0,0,0,0,0
Reggie Ragland,NYG,0,0,0,0,1,0.0,7,5,2,1,0,1,0,0,0
Xavier McKinney,NYG,0,0,0,0,0,0.0,6,5,1,0,0,0,0,0,0
Julian Love,NYG,0,0,0,0,1,0.0,5,3,2,0,1,0,0,0,0
Dexter Lawrence,NYG,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Azeez Ojulari,NYG,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
James Bradberry,NYG,0,0,0,0,1,0.0,2,2,0,0,0,0,0,0,0
Oshane Ximines,NYG,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0
Carter Coughlin,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Quincy Roche,NYG,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Kaden Smith,NYG,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Mike Glennon,NYG,0,0,0,0,0,0.0,0,0,0,0,0,1,-4,0,0
Trevon Diggs,DAL,1,18,0,18,2,0.0,5,3,2,0,0,0,0,0,0
Anthony Brown,DAL,1,45,1,45,1,0.0,2,2,0,0,0,0,0,0,0
Micah Parsons,DAL,0,0,0,0,0,0.0,8,6,2,0,3,0,0,0,0
Jayron Kearse,DAL,0,0,0,0,0,0.0,7,4,3,0,0,0,0,0,0
Malik Hooker,DAL,0,0,0,0,0,0.0,6,3,3,0,0,0,0,0,0
Keanu Neal,DAL,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Leighton Vander Esch,DAL,0,0,0,0,0,0.0,5,4,1,1,0,0,0,0,0
Damontae Kazee,DAL,0,0,0,0,0,0.0,3,3,0,0,0,0,0,0,0
Jourdan Lewis,DAL,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Tarell Basham,DAL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Chauncey Golston,DAL,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Carlos Watkins,DAL,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0
Bradlee Anae,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Jabril Cox,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Ezekiel Elliott,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
C.J. Goodwin,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Osa Odighizuwa,DAL,0,0,0,0,0,0.0,1,1,0,1,1,0,0,0,0
Nahshon Wright,DAL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tyler Biadasz,DAL,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Randy Gregory,DAL,0,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0
