Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Josh Allen,BUF,31,47,264,0,2,4,35,28,62.7,5,50,0,22,0,0,0,0,0,1,1
Devin Singletary,BUF,0,0,0,0,0,0,0,0,,6,16,0,5,8,7,43,0,14,0,0
Zack Moss,BUF,0,0,0,0,0,0,0,0,,3,6,0,7,4,2,18,0,13,0,0
Stefon Diggs,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,6,85,0,28,0,0
Emmanuel Sanders,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,8,4,65,0,22,0,0
Cole Beasley,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,11,8,33,0,9,0,0
Tommy Sweeney,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,7,1,0
Isaiah McKenzie,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,10,0,9,0,0
Gabriel Davis,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Trevor Lawrence,JAX,15,26,118,0,0,2,12,23,69.1,3,4,0,3,0,0,0,0,0,0,0
C.J. Beathard,JAX,2,2,33,0,0,0,0,28,118.7,0,0,0,0,0,0,0,0,0,0,0
Carlos Hyde,JAX,0,0,0,0,0,0,0,0,,21,67,0,15,2,1,6,0,6,1,1
Jamal Agnew,JAX,0,0,0,0,0,0,0,0,,1,11,0,11,5,3,27,0,23,0,0
Dare Ogunbowale,JAX,0,0,0,0,0,0,0,0,,1,1,0,1,1,1,4,0,4,0,0
Dan Arnold,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,60,0,28,0,0
Marvin Jones,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,21,0,12,0,0
Chris Manhertz,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,9,0,9,0,0
Luke Farrell,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Laquon Treadwell,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Laviska Shenault Jr.,JAX,0,0,0,0,0,0,0,0,,1,-4,0,-4,4,4,24,0,9,0,0
