Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Trevor Lawrence,JAX,24,42,275,1,1,2,15,49,75.0,2,4,0,6,0,0,0,0,0,0,0
James Robinson,JAX,0,0,0,0,0,0,0,0,,11,66,1,22,2,1,3,1,3,0,0
Travis Etienne,JAX,0,0,0,0,0,0,0,0,,4,47,0,27,4,2,18,0,23,1,0
Jamal Agnew,JAX,0,0,0,0,0,0,0,0,,1,6,0,6,1,1,6,0,6,0,0
Christian Kirk,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,12,6,117,0,49,0,0
Zay Jones,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,65,0,18,0,0
Marvin Jones,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,38,0,12,0,0
Evan Engram,JAX,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,28,0,11,0,0
Carson Wentz,WAS,27,41,313,4,2,1,8,49,101.0,6,12,0,8,0,0,0,0,0,0,0
Antonio Gibson,WAS,0,0,0,0,0,0,0,0,,14,58,0,13,8,7,72,0,26,0,0
Curtis Samuel,WAS,0,0,0,0,0,0,0,0,,4,17,0,11,11,8,55,1,13,1,1
J.D. McKissic,WAS,0,0,0,0,0,0,0,0,,3,8,0,5,3,3,20,0,10,0,0
Terry McLaurin,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,58,1,49,0,0
Logan Thomas,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,45,0,27,0,0
Armani Rogers,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,23,0,23,0,0
Dax Milne,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Cam Sims,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
John Bates,WAS,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Jahan Dotson,WAS,0,0,0,0,0,0,0,0,,1,-10,0,-10,5,3,40,2,24,0,0
