Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Patrick Mahomes,KAN,16,27,223,1,0,2,12,42,98.2,2,9,1,6,0,0,0,0,0,0,0
Isiah Pacheco,KAN,0,0,0,0,0,0,0,0,,14,66,1,16,2,2,16,0,16,0,0
Jerick McKinnon,KAN,0,0,0,0,0,0,0,0,,8,51,0,14,2,2,9,1,7,0,0
Skyy Moore,KAN,0,0,0,0,0,0,0,0,,1,12,0,12,0,0,0,0,0,0,0
Marquez Valdes-Scantling,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,71,0,42,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,56,0,19,1,1
JuJu Smith-Schuster,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,35,0,18,0,0
Justin Watson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Noah Gray,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,15,0,15,0,0
Jody Fortson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Joe Burrow,CIN,25,31,286,2,0,1,7,40,126.6,11,46,1,16,0,0,0,0,0,0,0
Samaje Perine,CIN,0,0,0,0,0,0,0,0,,21,106,0,10,7,6,49,0,16,0,0
Trayveon Williams,CIN,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,97,0,40,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,60,0,19,0,0
Tee Higgins,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,35,1,14,0,0
Mitchell Wilcox,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,13,0,13,0,0
Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,12,0,12,0,0
Hayden Hurst,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,12,0,9,0,0
Chris Evans,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,8,1,8,0,0
Trent Taylor,CIN,0,0,0,0,0,0,0,0,,1,-3,0,-3,0,0,0,0,0,0,0
