Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Joe Burrow,CIN,27,39,200,4,1,2,16,19,104.6,3,8,0,10,0,0,0,0,0,1,0
Samaje Perine,CIN,0,0,0,0,0,0,0,0,,7,24,0,9,1,1,0,0,0,0,0
Joe Mixon,CIN,0,0,0,0,0,0,0,0,,11,21,0,5,6,5,33,0,11,0,0
Ja'Marr Chase,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,13,7,60,1,15,0,0
Tyler Boyd,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,35,1,13,0,0
Mitchell Wilcox,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,34,1,19,0,0
Tee Higgins,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,5,33,1,12,0,0
Trenton Irwin,CIN,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,5,0,5,0,0
Tom Brady,TAM,30,44,312,3,2,1,8,24,92.2,2,1,0,1,0,0,0,0,0,2,2
Leonard Fournette,TAM,0,0,0,0,0,0,0,0,,10,44,0,8,4,4,30,0,12,0,0
Rachaad White,TAM,0,0,0,0,0,0,0,0,,11,38,0,7,2,1,5,0,5,0,0
Deven Thompkins,TAM,0,0,0,0,0,0,0,0,,1,9,0,9,1,1,7,0,7,0,0
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,9,5,83,0,24,0,0
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,8,8,83,1,18,0,0
Russell Gage,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,12,8,59,2,14,0,0
Cameron Brate,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,25,0,21,0,0
Cade Otton,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,20,0,20,0,0
Giovani Bernard,TAM,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,0
