Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Lamar Jackson,BAL,17,32,210,1,1,2,15,19,71.1,7,77,0,25,0,0,0,0,0,2,1
Kenyan Drake,BAL,0,0,0,0,0,0,0,0,,10,119,1,30,2,1,8,0,8,0,0
J.K. Dobbins,BAL,0,0,0,0,0,0,0,0,,7,15,0,6,0,0,0,0,0,0,0
Mark Andrews,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,11,7,106,1,18,0,0
Isaiah Likely,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,30,0,19,0,0
Demarcus Robinson,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,27,0,15,0,0
Josh Oliver,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,21,0,12,0,0
Devin Duvernay,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,14,0,14,0,0
Tylan Wallace,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Patrick Ricard,BAL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Daniel Jones,NYG,19,27,173,2,0,4,18,18,112.1,6,6,0,4,0,0,0,0,0,1,1
Saquon Barkley,NYG,0,0,0,0,0,0,0,0,,22,83,1,8,3,3,12,0,5,0,0
Daniel Bellinger,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,38,1,10,0,0
Wan'Dale Robinson,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,37,1,17,0,0
Marcus Johnson,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,25,0,18,0,0
Richie James,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,18,0,10,0,0
Darius Slayton,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,18,0,18,0,0
David Sills,NYG,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,8,0,8,0,0
Matt Breida,NYG,0,0,0,0,0,0,0,0,,3,-6,0,1,2,2,17,0,15,0,0
