Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Matt Ryan,IND,33,44,243,1,2,3,16,20,76.2,1,2,0,2,0,0,0,0,0,0,0
Jonathan Taylor,IND,0,0,0,0,0,0,0,0,,10,58,0,14,8,7,27,0,9,0,0
Deon Jackson,IND,0,0,0,0,0,0,0,0,,2,3,0,4,0,0,0,0,0,0,0
Nyheim Hines,IND,0,0,0,0,0,0,0,0,,4,2,0,2,5,5,41,0,14,0,0
Parris Campbell,IND,0,0,0,0,0,0,0,0,,0,0,0,0,12,10,70,1,11,0,0
Michael Pittman Jr.,IND,0,0,0,0,0,0,0,0,,0,0,0,0,9,6,58,0,14,1,1
Alec Pierce,IND,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,37,0,20,0,0
Kylen Granson,IND,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Jelani Woods,IND,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,4,0,4,0,0
Ryan Tannehill,TEN,13,20,132,0,0,2,16,27,83.7,4,6,0,8,0,0,0,0,0,1,1
Derrick Henry,TEN,0,0,0,0,0,0,0,0,,30,128,0,23,3,3,10,0,9,0,0
Dontrell Hilliard,TEN,0,0,0,0,0,0,0,0,,1,4,0,4,2,0,0,0,0,0,0
Austin Hooper,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,56,0,23,0,0
Cody Hollister,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,32,0,27,0,0
Robert Woods,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,26,0,13,0,0
Hassan Haskins,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Mason Kinsey,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Geoff Swaim,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Chigoziem Okonkwo,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Nick Westbrook-Ikhine,TEN,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
