Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Bryce Young,CAR,20,38,146,1,2,2,19,14,48.8,3,17,0,16,0,0,0,0,0,1,0
Miles Sanders,CAR,0,0,0,0,0,0,0,0,,18,72,0,10,6,4,26,0,11,1,1
Chuba Hubbard,CAR,0,0,0,0,0,0,0,0,,9,60,0,21,2,2,9,0,7,0,0
Laviska Shenault Jr.,CAR,0,0,0,0,0,0,0,0,,2,5,0,5,2,2,16,0,14,0,0
Hayden Hurst,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,41,1,14,0,0
Terrace Marshall Jr.,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,6,2,23,0,12,0,0
Jonathan Mingo,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,17,0,9,0,0
Adam Thielen,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,9,0,0
Giovanni Ricci,CAR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
Desmond Ridder,ATL,15,18,115,1,0,4,24,34,111.8,1,-1,0,-1,1,1,-6,0,-6,1,0
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,15,75,2,22,3,3,19,0,12,0,0
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,,10,56,0,21,6,6,27,1,17,0,0
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,44,0,34,0,0
Mack Hollins,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,31,0,11,0,0
Drake London,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
