Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Jordan Love,GNB,15,27,245,3,0,1,8,51,123.2,3,12,0,9,0,0,0,0,0,1,0
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,9,41,1,9,4,2,86,1,51,0,0
Patrick Taylor,GNB,0,0,0,0,0,0,0,0,,5,22,0,10,0,0,0,0,0,0,0
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,13,19,0,7,3,2,17,0,12,0,0
Luke Musgrave,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,4,3,50,0,37,0,0
Romeo Doubs,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,26,2,13,0,0
Samori Toure,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,18,0,16,0,0
Dontayvion Wicks,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Malik Heath,GNB,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Sean Clifford,GNB,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,1,0
Jayden Reed,GNB,0,0,0,0,0,0,0,0,,1,-2,0,-2,5,2,48,0,30,0,0
Justin Fields,CHI,24,37,216,1,1,4,27,23,78.2,9,59,0,10,0,0,0,0,0,1,1
Khalil Herbert,CHI,0,0,0,0,0,0,0,0,,9,27,0,12,5,3,37,0,19,0,0
Roschon Johnson,CHI,0,0,0,0,0,0,0,0,,5,20,1,11,7,6,35,0,8,0,0
D'Onta Foreman,CHI,0,0,0,0,0,0,0,0,,5,16,0,11,3,2,8,0,5,0,0
Darnell Mooney,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,53,1,23,0,0
Cole Kmet,CHI,0,0,0,0,0,0,0,0,,1,0,0,0,7,5,44,0,15,0,0
D.J. Moore,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,25,0,14,0,0
Tyler Scott,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,14,0,9,0,0
Chase Claypool,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
Khari Blasingame,CHI,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
