Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Nathan Landman,ATL,1,25,0,25,1,1.0,8,7,1,1,1,0,0,0,0
Kaden Elliss,ATL,0,0,0,0,0,1.0,11,6,5,1,1,0,0,0,0
Jessie Bates III,ATL,0,0,0,0,0,0.0,13,11,2,0,0,0,0,0,0
Richie Grant,ATL,0,0,0,0,0,0.0,9,7,2,0,0,0,0,0,0
DeMarcco Hellams,ATL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Keith Smith,ATL,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
AJ Terrell,ATL,0,0,0,0,2,0.0,2,2,0,0,0,0,0,0,0
Lorenzo Carter,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Bud Dupree,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Ta'Quon Graham,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Zach Harrison,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Timmy Horne,ATL,0,0,0,0,1,0.0,1,0,1,0,0,0,0,0,0
Albert Huggins,ATL,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Mike Hughes,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
DeAngelo Malone,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Jeff Okudah,ATL,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Clark Phillips,ATL,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
Kentavius Street,ATL,0,0,0,0,1,0.0,1,1,0,0,0,0,0,0,0
BJ Ojulari,ARI,0,0,0,0,0,2.0,8,4,4,2,2,0,0,0,0
Dennis Gardeck,ARI,0,0,0,0,1,1.0,5,3,2,1,1,0,0,0,0
Kyzir White,ARI,0,0,0,0,0,0.0,11,6,5,0,0,0,0,0,0
Budda Baker,ARI,0,0,0,0,0,0.0,10,5,5,0,0,0,0,0,0
Zaven Collins,ARI,0,0,0,0,0,0.0,5,3,2,0,1,0,0,0,0
Roy Lopez,ARI,0,0,0,0,0,0.0,5,3,2,0,0,0,0,0,0
Kevin Strong,ARI,0,0,0,0,0,0.0,5,3,2,1,0,0,0,0,0
Jonathan Ledbetter,ARI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Josh Woods,ARI,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Dante Stills,ARI,0,0,0,0,0,0.0,3,0,3,0,0,0,0,0,0
Jalen Thompson,ARI,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Marco Wilson,ARI,0,0,0,0,1,0.0,3,3,0,0,0,0,0,0,0
Starling Thomas,ARI,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Victor Dimukeje,ARI,0,0,0,0,0,0.0,1,0,1,0,1,0,0,0,0
Leki Fotu,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Antonio Hamilton,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Cameron Thomas,ARI,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Garrett Williams,ARI,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
