Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Zach Wilson,NYJ,23,39,263,0,1,2,6,41,68.6,4,54,0,20,0,0,0,0,0,1,0
Garrett Wilson,NYJ,0,1,0,0,0,0,0,0,39.6,0,0,0,0,14,9,93,0,41,0,0
Breece Hall,NYJ,0,0,0,0,0,0,0,0,,13,28,0,7,3,3,47,0,35,0,0
Dalvin Cook,NYJ,0,0,0,0,0,0,0,0,,4,26,0,10,1,0,0,0,0,0,0
Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,7,7,70,0,27,0,0
Xavier Gipson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,24,0,24,0,0
Allen Lazard,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,17,0,17,0,0
Malik Taylor,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,6,0,6,0,0
C.J. Uzomah,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,6,0,0
Michael Carter,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Aidan O'Connell,LVR,16,27,153,1,1,3,27,42,72.0,2,3,0,3,0,0,0,0,0,1,0
Josh Jacobs,LVR,0,0,0,0,0,0,0,0,,27,116,0,40,2,2,11,0,8,2,1
DeAndre Carter,LVR,0,0,0,0,0,0,0,0,,1,15,0,15,0,0,0,0,0,0,0
Tre Tucker,LVR,0,0,0,0,0,0,0,0,,1,9,0,9,0,0,0,0,0,0,0
Zamir White,LVR,0,0,0,0,0,0,0,0,,1,5,0,5,0,0,0,0,0,0,0
Davante Adams,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,13,6,86,0,42,0,0
Jakobi Meyers,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,21,0,13,0,0
Michael Mayer,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,19,1,7,0,0
Austin Hooper,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,7,0,0
Hunter Renfrow,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Ameer Abdullah,LVR,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
