Player,Tm,Def Interceptions_Int,Def Interceptions_Yds,Def Interceptions_TD,Def Interceptions_Lng,Def Interceptions_PD,Unnamed: 7_level_0_Sk,Tackles_Comb,Tackles_Solo,Tackles_Ast,Tackles_TFL,Tackles_QBHits,Fumbles_FR,Fumbles_Yds,Fumbles_TD,Fumbles_FF
Brian Branch,DET,1,13,0,13,1,0.0,7,3,4,0,0,0,0,0,0
Romeo Okwara,DET,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Bruce Irvin,DET,0,0,0,0,0,1.0,1,1,0,1,1,0,0,0,0
Derrick Barnes,DET,0,0,0,0,0,0.0,9,3,6,1,0,0,0,0,0
Jack Campbell,DET,0,0,0,0,0,0.0,9,4,5,2,0,0,0,0,0
Tracy Walker,DET,0,0,0,0,0,0.0,7,5,2,0,0,0,0,0,0
Jerry Jacobs,DET,0,0,0,0,0,0.0,6,4,2,0,0,0,0,0,0
Jalen Reeves-Maybin,DET,0,0,0,0,1,0.0,6,3,3,0,1,0,0,0,0
Kerby Joseph,DET,0,0,0,0,1,0.0,5,4,1,0,0,0,0,0,0
Malcolm Rodriguez,DET,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
Quinton Bohanna,DET,0,0,0,0,0,0.0,3,2,1,1,0,0,0,0,0
Alim McNeill,DET,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Josh Paschal,DET,0,0,0,0,0,0.0,3,3,0,0,0,1,0,0,0
John Cominsky,DET,0,0,0,0,0,0.0,2,1,1,0,1,0,0,0,0
Aidan Hutchinson,DET,0,0,0,0,0,0.0,2,2,0,1,1,0,0,0,0
Benito Jones,DET,0,0,0,0,0,0.0,2,0,2,0,1,0,0,0,0
Craig Reynolds,DET,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Cameron Sutton,DET,0,0,0,0,1,0.0,2,1,1,0,0,0,0,0,0
Jake McQuaide,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Anthony Pittman,DET,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Charles Harris,DET,0,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0
Kalif Raymond,DET,0,0,0,0,0,0.0,0,0,0,0,0,1,0,0,0
Zack Baun,NOR,0,0,0,0,0,1.0,2,1,1,1,1,0,0,0,0
Paulson Adebo,NOR,0,0,0,0,1,0.0,8,6,2,0,0,0,0,0,0
Nephi Sewell,NOR,0,0,0,0,0,0.0,8,5,3,2,0,0,0,0,0
Nathan Shepherd,NOR,0,0,0,0,0,0.0,5,2,3,0,0,0,0,0,0
Demario Davis,NOR,0,0,0,0,0,0.0,4,3,1,0,0,0,0,0,0
Jordan Howden,NOR,0,0,0,0,0,0.0,4,3,1,0,1,0,0,0,0
Khalen Saunders,NOR,0,0,0,0,0,0.0,4,1,3,0,0,0,0,0,0
Isaac Yiadom,NOR,0,0,0,0,0,0.0,4,4,0,0,0,0,0,0,0
Carl Granderson,NOR,0,0,0,0,1,0.0,3,1,2,0,2,0,0,0,0
Malcolm Roach,NOR,0,0,0,0,0,0.0,3,1,2,0,0,0,0,0,0
Alontae Taylor,NOR,0,0,0,0,0,0.0,3,2,1,0,0,0,0,0,0
Johnathan Abram,NOR,0,0,0,0,0,0.0,2,0,2,0,0,0,0,0,0
Bryan Bresee,NOR,0,0,0,0,0,0.0,2,1,1,0,0,0,0,0,0
Cameron Jordan,NOR,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Tanoh Kpassagnon,NOR,0,0,0,0,0,0.0,2,1,1,1,0,0,0,0,0
Isaiah Foskey,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
J.T. Gray,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Taysom Hill,NOR,0,0,0,0,0,0.0,1,1,0,0,0,0,0,0,0
Tyrann Mathieu,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Adam Prentice,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
Ty Summers,NOR,0,0,0,0,0,0.0,1,0,1,0,0,0,0,0,0
