Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Baker Mayfield,TAM,14,29,144,2,0,1,2,32,86.0,3,3,1,2,0,0,0,0,0,0,0
Rachaad White,TAM,0,0,0,0,0,0,0,0,,25,102,0,12,2,2,33,1,31,1,0
Chase Edmonds,TAM,0,0,0,0,0,0,0,0,,8,40,0,15,2,2,18,0,10,0,0
Trey Palmer,TAM,0,0,0,0,0,0,0,0,,1,3,0,3,1,1,5,0,5,0,0
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,11,5,53,0,32,0,0
Cade Otton,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,16,1,11,0,0
David Moore,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,11,0,11,0,0
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,1,8,0,8,0,0
Ko Kieft,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Desmond Ridder,ATL,26,40,347,1,1,3,9,45,90.3,4,15,1,7,0,0,0,0,0,2,0
Tyler Allgeier,ATL,0,0,0,0,0,0,0,0,,9,40,0,9,0,0,0,0,0,0,0
Bijan Robinson,ATL,0,0,0,0,0,0,0,0,,10,34,1,8,7,5,54,0,33,0,0
Cordarrelle Patterson,ATL,0,0,0,0,0,0,0,0,,3,7,0,6,0,0,0,0,0,0,0
Drake London,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,11,10,172,0,45,0,0
Kyle Pitts,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,57,1,36,0,0
Jonnu Smith,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,7,4,27,0,9,0,0
KhaDarel Hodge,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,18,0,18,0,0
MyCole Pruitt,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,15,0,11,1,0
Mack Hollins,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Scott Miller,ATL,0,0,0,0,0,0,0,0,,0,0,0,0,3,0,0,0,0,0,0
