Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Patrick Mahomes,KAN,27,37,305,2,2,3,26,48,92.7,3,-5,0,-1,0,0,0,0,0,0,0
Jerick McKinnon,KAN,1,1,4,1,0,0,0,4,122.9,4,11,0,4,3,3,19,1,8,0,0
Clyde Edwards-Helaire,KAN,0,0,0,0,0,0,0,0,,13,37,0,20,4,4,64,1,48,0,0
Rashee Rice,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,9,9,91,1,24,1,0
Noah Gray,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,37,0,32,0,0
Justin Watson,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,31,0,31,0,0
Travis Kelce,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,28,0,11,0,0
Marquez Valdes-Scantling,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0
Richie James,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,17,0,17,0,0
Kadarius Toney,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,5,0,3,0,0
Blake Bell,KAN,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Bailey Zappe,NWE,23,31,180,1,1,4,26,20,85.4,1,2,0,2,0,0,0,0,0,1,0
Ezekiel Elliott,NWE,0,0,0,0,0,0,0,0,,11,25,0,5,6,5,21,0,7,0,0
Kevin Harris,NWE,0,0,0,0,0,0,0,0,,4,25,1,18,0,0,0,0,0,0,0
Hunter Henry,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,9,7,66,1,16,0,0
DeVante Parker,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,5,44,0,20,0,0
Demario Douglas,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,33,0,16,0,0
Mike Gesicki,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,1,7,0,7,0,0
Tyquan Thornton,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,5,0,5,0,0
Pharaoh Brown,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Jalen Reagor,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
