Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Trevor Siemian,NYJ,8,20,70,0,0,1,1,30,50.0,2,1,0,1,0,0,0,0,0,0,0
Breece Hall,NYJ,0,0,0,0,0,0,0,0,,37,178,1,50,2,2,12,0,11,0,0
Israel Abanikanda,NYJ,0,0,0,0,0,0,0,0,,3,6,0,4,0,0,0,0,0,0,0
Garrett Wilson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,34,0,30,0,0
Tyler Conklin,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,16,0,9,0,0
Randall Cobb,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,4,0,4,0,0
Xavier Gipson,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,5,1,4,0,4,1,0
Jason Brownlee,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Irvin Charles,NYJ,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Bailey Zappe,NWE,12,30,88,0,2,7,57,33,20.1,3,13,0,8,0,0,0,0,0,0,0
Ezekiel Elliott,NWE,0,0,0,0,0,0,0,0,,13,54,0,9,7,5,27,0,11,0,0
Jalen Reagor,NWE,0,0,0,0,0,0,0,0,,1,17,0,17,5,1,33,0,33,0,0
Kevin Harris,NWE,0,0,0,0,0,0,0,0,,3,4,0,2,1,1,4,0,4,0,0
Demario Douglas,NWE,0,0,0,0,0,0,0,0,,1,0,0,0,6,2,13,0,15,0,0
DeVante Parker,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,4,1,6,0,6,0,0
Mike Gesicki,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,5,0,5,0,0
Pharaoh Brown,NWE,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,0,0,0,0,0
