Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Kirk Cousins,MIN,31,44,364,4,0,2,18,62,125.6,0,0,0,0,0,0,0,0,0,1,1
Alexander Mattison,MIN,0,0,0,0,0,0,0,0,,8,28,0,7,6,3,11,0,16,1,1
Justin Jefferson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,13,11,159,0,30,1,1
Jordan Addison,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,5,3,72,1,62,0,0
T.J. Hockenson,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,8,7,66,2,24,0,0
K.J. Osborn,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,34,1,18,0,0
Josh Oliver,MIN,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,13,0,13,0,0
Ty Chandler,MIN,0,0,0,0,0,0,0,0,,1,0,0,0,2,2,9,0,5,0,0
Jalen Hurts,PHI,18,23,193,1,1,4,22,63,98.0,12,35,2,8,0,0,0,0,0,0,0
D'Andre Swift,PHI,0,0,0,0,0,0,0,0,,28,175,1,43,3,3,6,0,5,0,0
Boston Scott,PHI,0,0,0,0,0,0,0,0,,5,40,0,18,0,0,0,0,0,0,0
Rashaad Penny,PHI,0,0,0,0,0,0,0,0,,3,9,0,6,1,1,5,0,5,0,0
DeVonta Smith,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,5,4,131,1,63,0,0
A.J. Brown,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,29,0,12,0,0
Dallas Goedert,PHI,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,22,0,9,0,0
