Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Geno Smith,SEA,32,41,328,2,0,1,17,31,116.3,3,20,0,15,0,0,0,0,0,0,0
Kenneth Walker III,SEA,0,0,0,0,0,0,0,0,,17,43,2,14,2,1,11,0,11,0,0
Zach Charbonnet,SEA,0,0,0,0,0,0,0,0,,4,16,0,9,2,2,14,0,9,0,0
DeeJay Dallas,SEA,0,0,0,0,0,0,0,0,,1,3,0,3,0,0,0,0,0,0,0
D.K. Metcalf,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,75,0,18,0,0
Tyler Lockett,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,59,2,12,0,0
Noah Fant,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,4,4,56,0,31,0,0
Colby Parkinson,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,41,0,21,0,0
Will Dissly,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,3,3,35,0,16,0,0
Jaxon Smith-Njigba,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,34,0,16,0,0
Jake Bobo,SEA,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,3,0,3,0,0
Jared Goff,DET,28,35,323,3,1,2,7,39,121.8,0,0,0,0,0,0,0,0,0,0,0
David Montgomery,DET,0,0,0,0,0,0,0,0,,16,67,1,16,1,1,7,0,7,1,1
Jahmyr Gibbs,DET,0,0,0,0,0,0,0,0,,7,17,0,8,9,7,39,0,7,0,0
Kalif Raymond,DET,0,0,0,0,0,0,0,0,,1,11,0,11,3,2,46,1,36,0,0
Craig Reynolds,DET,0,0,0,0,0,0,0,0,,3,7,0,5,1,1,-2,0,-2,0,0
Amon-Ra St. Brown,DET,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,102,0,39,1,1
Josh Reynolds,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,66,2,22,0,0
Sam LaPorta,DET,0,0,0,0,0,0,0,0,,0,0,0,0,6,5,63,0,23,0,0
Antoine Green,DET,0,0,0,0,0,0,0,0,,0,0,0,0,1,1,2,0,2,0,0
