Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Baker Mayfield,TAM,25,42,237,2,0,3,13,31,91.1,3,19,0,11,0,0,0,0,0,1,0
Rachaad White,TAM,0,0,0,0,0,0,0,0,,9,39,0,15,7,7,70,0,20,0,0
Chris Godwin,TAM,0,0,0,0,0,0,0,0,,1,14,0,14,7,5,54,1,31,0,0
Chase Edmonds,TAM,0,0,0,0,0,0,0,0,,3,5,0,2,3,2,16,0,9,0,0
Ke'Shawn Vaughn,TAM,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
Mike Evans,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,39,1,24,0,0
Cade Otton,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,4,27,0,12,0,0
Trey Palmer,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,6,3,22,0,15,0,0
Rakim Jarrett,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,3,1,9,0,9,0,0
Payne Durham,TAM,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0
Josh Allen,BUF,31,40,324,2,1,2,12,30,106.7,7,41,1,13,0,0,0,0,0,0,0
James Cook,BUF,0,0,0,0,0,0,0,0,,14,67,0,18,1,1,6,0,6,0,0
Latavius Murray,BUF,0,0,0,0,0,0,0,0,,5,7,0,5,1,1,4,0,4,0,0
Khalil Shakir,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,6,6,92,0,30,0,0
Gabriel Davis,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,87,1,16,0,0
Stefon Diggs,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,12,9,70,0,17,0,0
Dalton Kincaid,BUF,0,0,0,0,0,0,0,0,,0,0,0,0,7,5,65,1,22,0,0
