Player,Tm,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Passing_Int,Passing_Sk,Passing_Yds.1,Passing_Lng,Passing_Rate,Rushing_Att,Rushing_Yds,Rushing_TD,Rushing_Lng,Receiving_Tgt,Receiving_Rec,Receiving_Yds,Receiving_TD,Receiving_Lng,Fumbles_Fmb,Fumbles_FL
Tom Savage,HOU,18,36,221,1,2,3,27,36,55.4,2,0,0,,0,0,0,0,,2,2
Lamar Miller,HOU,0,0,0,0,0,0,0,0,,11,60,0,21,1,1,14,0,14,0,0
D'Onta Foreman,HOU,0,0,0,0,0,0,0,0,,7,18,0,6,0,0,0,0,0,0,0
Alfred Blue,HOU,0,0,0,0,0,0,0,0,,4,10,0,7,0,0,0,0,0,0,0
Braxton Miller,HOU,0,0,0,0,0,0,0,0,,1,1,0,1,0,0,0,0,0,0,0
DeAndre Hopkins,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,14,7,111,0,36,0,0
Bruce Ellington,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,9,4,41,1,26,0,0
Stephen Anderson,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,30,0,17,0,0
Will Fuller,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,15,0,9,0,0
C.J. Fiedorowicz,HOU,0,0,0,0,0,0,0,0,,0,0,0,0,5,2,10,0,7,0,0
Jared Goff,LAR,25,37,355,3,0,3,22,94,125.4,4,3,0,,0,0,0,0,,0,0
Johnny Hekker,LAR,1,1,6,0,0,0,0,6,91.7,0,0,0,,0,0,0,0,,0,0
Todd Gurley,LAR,0,0,0,0,0,0,0,0,,11,68,0,34,7,6,68,0,43,0,0
Lance Dunbar,LAR,0,0,0,0,0,0,0,0,,5,31,0,12,1,0,0,0,0,0,0
Tavon Austin,LAR,0,0,0,0,0,0,0,0,,5,2,0,7,0,0,0,0,0,0,0
Robert Woods,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,10,8,171,2,94,0,0
Cooper Kupp,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,7,6,47,0,19,0,0
Sammy Watkins,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,3,2,41,1,24,0,0
Tyler Higbee,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,4,2,22,0,15,0,0
Pharoh Cooper,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,2,12,0,6,0,0
Gerald Everett,LAR,0,0,0,0,0,0,0,0,,0,0,0,0,2,0,0,0,0,0,0
